,Country,Country Code,PMR,BAR,BF,NEW,FIR,COM,TUD,CAC,EPI,TER,NEET,LLT,2017_expenditure_on_social_protection,2017_expenditure_on_families,2017_expenditure_on_health_care,2017_healthy_life_years_at_age_65,2017_gini_income,2017_fertility_rate,2017_expenditure_rnd,2017_researchers_per_1000_employees,2017_expenditure_on_education,2017_turnover_from_innovation,2017_high_tech_exports,2017_patent_applications,Domestic credit to private sector (% of GDP),Domestic credit provided by financial sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",Mutual fund assets to GDP (%),Stock market capitalization to GDP (%),Investments financed by equity or stock sales (%),"Stock market return (%, year-on-year)",Stock market total value traded to GDP (%),Stock market turnover ratio (%),Stock price volatility,Bank concentration (%),Gross portfolio debt assets to GDP (%),owner occupied hosung %,overburden rate,outstanding residential loans %GDP,Social hosing stock,Property tax % GDP,Dealing with Construction Permits score
14,Croatia,HRV,1.433284521,1.048822403,58.9,5.86,153359,4.714762688,25.8,46.7,0.38,18.23,15,3.5,21.5,8.53,32.72,4.9,30.4,1.42,0.86,,:,,9.2,9.00,55.40840211,..,1.975982339,0.520819762,5.62015,39.3889,..,9.28226,0.686715,1.98826,9.96548,65.2645,4.50134,90.1,32.1,14.1,,,57.8
15,Hungary,HUN,1.316536307,1.053518414,61.8,3.74,599547,4.245872498,8.5,22.8,0.38,6.64,14.6,5.8,18.2,11.87,27.27,6.7,30.6,1.54,1.35,6.24,4.19,,16,66.30,32.41901494,..,-40.41425184,-42.68680948,17.2466,19.5801,..,31.2631,6.58828,37.9412,15.2041,58.8873,3.93298,86,46.9,10.2,2.6,1.05,67
16,Ireland,IRL,1.384962916,1.229549885,81.8,7.13,263309,5.302785873,24.4,33.5,0.38,9.72,12.6,12.6,14.8,8.47,36.05,13,,1.77,,12.18,:,,34.5,229.70,41.07818292,..,17.60288624,24.77389953,861.062,40.7107,..,10.4045,7.83296,21.4369,18.9693,59.3597,..,70.3,14.3,25.7,12.7,1.3,76.6
17,Iceland,ISL,1.44168061,1.666848302,89.5,9.88,,4.976753712,90.4,90,0.38,7.74,5.7,22.2,23.5,10.1,35.58,:,,1.71,2.1,10.32,6.67,,:,7.30,92.76085162,..,-2.419489477,-0.589497483,30.8013,..,..,4.29848,..,..,14.6155,100,3.69032,73.6,17.4,56.7,11.1,2.06,71.6
18,Italy,ITA,1.316977262,1.065683365,70.3,2.96,3697955,5.229665756,34.4,80,0.31,16.99,23.8,8.1,28.9,3.98,22.3,9.6,35.9,1.32,1.38,5.58,4.04,,7.6,2715.60,76.73080649,..,2.115647345,1.910496482,16.3295,..,..,20.9021,..,..,24.9174,71.0987,33.2855,72.4,29.1,31.5,4.2,2.55,68.3
19,Lithuania,LTU,1.185324043,0.565064013,73.4,3.33,211111,5.496658325,7.7,7.1,0.11,1.46,11.6,7,15.1,7.95,29.93,5.6,37.3,1.63,0.9,6.47,3.67,,8.1,7.80,40.3947421,..,2.419530914,1.935324179,2.47541,..,..,16.6011,..,..,6.76375,88.6782,25.018,89.9,30.9,17.1,0.8,,84.9
20,Luxembourg,LUX,1.678460717,1.352611303,69.2,17.2,34347,5.315770626,32,55,0.38,9.08,6.9,19.1,21.9,15.07,24.51,8.8,34.9,1.39,1.3,6.78,3.57,,6.9,32.40,106.3242683,..,-23.62750457,16.38888575,8204.92,105.141,..,14.2015,0.132902,0.14277,20.5063,42.4407,..,71.2,30.2,55.1,1.6,3.64,83.9
21,Latvia,LVA,1.280287266,0.749219179,80.1,8.01,112728,5.49009943,12.6,13.8,0.18,3.18,12,7.4,14.8,10.82,25.03,4.2,35.6,1.69,0.51,3.93,4.4,,10.6,4.30,36.62000761,..,1.246025743,-0.919543174,0.799446,..,..,37.48,..,..,15.0276,49.125,50.2502,81.6,11.5,14.1,1.9,1.04,73.5
22,North Macedonia,MKD,1.384962916,1.070055127,82.9,3.63,,,28,49,0.38,16.72,26.7,2.8,14.5,6.26,29.09,,34.2,1.501,0.36,0.16,:,,3.3,0.00,50.24443749,58.68358639,5.114946359,-0.508754345,..,..,..,..,..,..,..,64.7531,0.25477,88.3,38.1,,,,83.5
23,Malta,MLT,1.53779912,1.369674683,64,17.48,31766,6.174284458,51.4,41.8,0.41,9.13,9.6,11.9,15.7,5.44,34.31,13.9,29.2,1.26,0.58,,4.47,,25.5,8.70,75.99658279,..,29.38834986,-48.42594467,..,37.6923,..,3.3796,0.702634,2.19423,6.33857,91.5371,192.324,81.6,12.1,44.5,5.5,,73.5
24,Montenegro,MNE,1.384962916,1.070055127,72.9,11.29,,4.423576832,25.9,50,0.38,33.41,24.2,2.5,17.7,7.3,26.81,,,1.738,0.35,,,,1.2,,49.56245043,..,8.823230555,1.936294306,..,..,..,0,..,..,..,47.6571,..,90.2,51.7,,,,76.1
25,Netherlands,NLD,1.097613096,1.069574594,80.5,6.42,1223491,5.940104485,17.3,78.6,0.67,20.12,7,19.5,29.3,3.93,31.65,9.9,28.5,1.62,1.98,9.14,5.18,,21.6,1539.70,105.4857511,..,-39.54597341,-32.56974596,120.692,115.953,..,17.8617,..,..,15.5536,87.535,121.945,68.9,25.6,92.3,34.1,1.56,69.4
26,Norway,NOR,1.150896221,0.896555126,90.4,8.62,,5.274128437,52.5,67,0.38,7.95,7.3,19.3,27.8,11.65,27.74,15.7,27,1.62,2.09,12.24,6.94,,:,277.80,144.3367621,147.8527044,-1.527986538,2.269799866,36.0323,65.4394,..,22.2992,28.1925,45.0773,17.7405,89.2725,111.89,81.3,35.4,76.2,4.3,1.27,80.6
27,Poland,POL,1.45029062,1.23926425,67.2,1.44,1960361,5.27769804,12.1,17.2,0.37,21.83,13.4,4.8,20.2,12.92,22.11,8.4,29.7,1.48,1.03,7.04,4.56,,8.4,360.80,52.53377829,..,3.000280492,0.398187476,7.90261,32.7981,..,28.4907,10.9553,39.3895,17.8444,42.1773,2.43856,84,26.4,20.2,7.6,1.36,76.4
28,Portugal,PRT,1.344809592,1.051711798,83.2,6.49,895848,5.255724907,16.3,72.3,0.37,20.78,9.5,10.5,24.6,4.7,24.4,7.3,33.8,1.38,1.33,9.36,4.9,,4.5,68.50,96.9928843,..,3.225446194,0.59814917,6.31608,30.5788,..,15.1295,..,..,15.8955,87.5813,55.9729,74.5,25.8,46,2,1.36,73.2
29,Romania,ROU,1.861251295,1.587615132,65.2,7.32,501974,4.855969429,25.2,35,0.27,1.4,17.3,1.3,14.8,10.11,26.62,5.4,36,1.71,0.5,2.03,2.69,,7.9,49.60,25.72739123,..,3.041348095,0.622652685,2.77741,..,..,..,..,..,..,61.1211,1.28398,96.4,46.3,7.7,,,58.4
30,Serbia,SRB,2.104091167,1.674208879,68.3,1.88,87407,4.498873234,27.9,55,0.38,22.77,19.9,4.3,19.4,6.35,24.7,,36.2,1.49,0.87,,3.59,,1.9,,41.40490665,..,8.040763794,0.707144231,0.531999,..,..,14.9483,..,..,10.4702,44.0556,0.421767,84.4,71,,,,85.3
31,Slovenia,SVN,1.289845109,1.008405566,79.5,3.09,145716,5.40582943,26.9,70.9,0.71,13.37,9,11.2,22.6,8.15,33.44,7.2,24.2,1.62,1.87,9.41,4.48,,5.6,89.60,43.32055538,..,2.839902425,0.828815644,6.1973,12.0724,..,11.0398,0.711898,6.44978,10.3332,61.6504,38.5493,75.1,21.7,13.6,4.7,0.64,65.3
32,Sweden,SWE,1.114501208,0.771598041,89.3,7.18,638725,5.505934715,67,90,0.82,16.56,6.4,34.3,28.7,9.94,25.68,15.6,28.8,1.78,3.4,14.6,7.06,,11.9,1261.40,131.8716958,..,-0.378393445,1.847173995,87.6812,..,..,14.5406,..,..,17.229,91.1067,27.4979,64.1,18.8,86.9,,0.98,78
33,Turkey,TUR,2.278851628,2.356851101,63.3,1.56,,5.877568245,8.2,5.9,0.38,11.55,30.9,5.7,12.2,3.91,26.94,,41.4,2.081,0.96,4.02,4.35,,2.9,532.10,67.41352606,82.13470859,1.673086267,0.468793042,1.54917,21.6446,..,28.2184,35.7373,204.706,19.5572,39.3522,0.082791,59,32.1,31.8,,1.11,73.8
34,Czech Republic,CZE,,,,,,,,,,,,,18.3,8.51,31.77,8,24.9,1.69,1.79,7.33,3.77,,16.1,249.10,51.34685065,..,3.344466195,2.442631755,8.08089,..,..,14.3534,..,..,13.7266,60.2255,7.77792,78.7,27.9,21.2,0.4,0.47,56.2
35,Liechtenstein,LIE,,,,,,,,,,,,,:,,,,,1.44,,,:,,:,16.10,..,..,-1268.174071,..,..,..,..,..,..,..,..,..,..,,,,,,
36,Albania,ALB,,,,,,,,,,,,,:,,,,33.2,1.638,,,,,0.8,,33.00629584,58.53204271,7.951288907,-0.029796856,4.69584,..,..,..,..,..,..,64.3315,5.13632,96.1,,,,,52.7
