Country Code,2015_domestic_credit_provided_by_financial_sector_(%_of_GDP),2015_domestic_credit_to_private_sector_(%_of_GDP),2015_foreign_direct_investment_net_inflows_(%_of_GDP),2015_foreign_direct_investment_net_outflows_(%_of_GDP),2015_mutual_fund_assets_to_GDP_(%),2015_investments_financed_by_equity_or_stock_sales_(%),2015_stock_market_capitalization_to_GDP_(%),2015_stock_market_return_(%_year-on-year),2015_stock_market_total_value_traded_to_GDP_(%),2015_stock_market_turnover_ratio_(%),2015_stock_price_volatility,2015_bank_concentration_(%),2015_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,3.98149379462535,0.8496793152954041,0.01086573055622194,..,..,..,..,..,..,..,53.3791,..
ALB,68.13829392820783,37.15075364533768,8.6905391281482,0.6965102884885681,4.67049,..,..,..,..,..,..,69.4446,4.51029
DZA,..,21.71174678078442,-0.3240122890061694,0.060924688316142825,..,..,0.084056,..,..,..,..,63.0334,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,93.6598,..
AGO,27.050923802882615,25.24010857797729,8.630605233788971,-0.6754846091352485,..,..,..,..,..,..,..,55.1937,0.092435
ATG,..,52.29879165546802,8.530357746701998,1.0530116539718006,..,..,..,..,..,..,..,..,6.6757
ARG,40.42762793702969,14.414233041706447,1.9771346178442624,0.1471600300866565,2.76335,..,9.11289,36.64,0.484311,4.98132,41.2333,51.8306,2.22072
ARM,48.259976109421274,45.63078260994396,1.744736992413284,0.2724438961884022,..,..,..,..,..,..,..,48.7428,0.16238
ABW,..,56.6269137944038,-0.9712041443547776,0.35488102420997036,..,..,..,..,..,..,..,..,14.603
AUS,..,136.31738004623534,3.4691882263830216,0.6109969565407042,114.558,..,87.5509,1.52138,51.5832,63.4376,12.5567,71.2288,20.4883
AUT,..,85.89120787820626,-2.0888964407006183,-0.5603448790213921,47.2554,..,23.126,1.20623,7.28125,35.9391,17.7289,60.4178,54.6515
AZE,..,..,7.62633633321074,6.046945014343509,..,..,..,..,..,..,..,63.072,..
BHS,75.43122587696827,54.66919424804454,0.649621928049322,1.450849157700584,..,..,..,..,..,..,..,65.5889,..
BHR,..,73.89610656580192,0.20899285998163605,10.276624319916674,22.5045,..,66.6837,-4.79461,1.63518,1.41666,7.02882,79.8577,56.9118
BGD,..,44.40697180628371,1.4512876466367808,0.030706597027106583,..,..,..,-1.01775,0.000383,..,13.297,29.0219,1.63574
BRB,..,82.98616153977805,14.60288320910085,6.833446566382991,27.8291,..,..,..,..,..,..,100,..
BLR,49.78302854811861,27.88282009493736,2.9267695927730246,0.18882384469503385,..,..,..,..,..,..,..,62.3788,0.204766
BEL,..,60.63286564431989,-4.222494729940307,1.5860947031154489,36.0519,..,80.2233,13.8395,..,..,17.5337,61.8815,79.6242
BLZ,..,58.456026555238886,3.43376835995794,0.027291833789852803,..,..,..,..,..,..,..,93.6633,..
BEN,..,16.735706436467574,1.3150118212087594,0.2871340274660737,..,..,..,..,..,..,..,70.3723,18.83
BMU,..,..,-2.1503269139073606,-1.2693065035521698,..,..,..,-6.026,..,..,17.9041,94.9876,..
BTN,..,46.43944704875734,0.32196843698083993,0,..,3.4,..,..,..,..,..,94.4192,..
BOL,67.09688670996051,58.06611718862459,1.6807278796133456,-0.00541424261389995,3.23796,..,..,..,..,..,..,47.4736,13.2428
BIH,63.94016886694677,58.65743403008228,2.363067128204725,0.5843602811070917,..,..,..,-1.20119,..,..,10.2467,44.6172,2.04976
BWA,..,33.773254116626475,2.6250943274188567,1.2707196463905912,..,..,..,11.3619,..,..,3.60721,64.7201,4.91991
BRA,..,66.82970064422904,3.5921449988242156,0.17389591246151234,53.554,..,30.6343,-5.59452,24.5961,76.0697,24.8036,76.4355,0.447187
VGB,..,..,..,..,,,,,,,,,
BRN,39.951447429320005,41.436285064323656,1.3247017484599544,..,..,..,..,..,..,..,..,..,..
BGR,..,54.92277351530647,4.385986496236647,0.24328967721394248,0.975332,..,..,-14.8415,..,..,14.3942,56.7333,7.93007
BFA,..,25.037770562270357,1.959927163607686,0.11920842444968024,..,..,..,..,..,..,..,58.1516,27.2629
BDI,..,16.386027030244932,1.5984714925407386,0.004901847270980455,..,..,..,..,..,..,..,91.8967,5.16712
CPV,..,61.81831587480568,6.016498970418698,-0.9968485601530571,..,..,..,..,..,..,..,90.3122,4.59632
KHM,..,74.31674106344995,10.098663531378264,0.4862119682113756,..,..,..,..,..,..,..,41.916,0.565311
CMR,..,14.778395113648706,2.2449626778415,0.18047203013098562,..,..,..,..,..,..,..,57.9698,0.001069
CAN,..,..,3.853894537061533,5.39115744659582,88.6286,..,110.584,-2.08608,73.327,63.8381,11.4817,60.8175,17.6335
