Country Code,2016_domestic_credit_provided_by_financial_sector_(%_of_GDP),2016_domestic_credit_to_private_sector_(%_of_GDP),2016_foreign_direct_investment_net_inflows_(%_of_GDP),2016_foreign_direct_investment_net_outflows_(%_of_GDP),2016_mutual_fund_assets_to_GDP_(%),2016_investments_financed_by_equity_or_stock_sales_(%),2016_stock_market_capitalization_to_GDP_(%),2016_stock_market_return_(%_year-on-year),2016_stock_market_total_value_traded_to_GDP_(%),2016_stock_market_turnover_ratio_(%),2016_stock_price_volatility,2016_bank_concentration_(%),2016_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,3.8883217461248765,0.5194395532844012,0.0777347186572559,..,..,..,..,..,..,..,51.8292,..
ALB,66.39006637429364,36.59899769587891,8.805091260917374,0.059342789316370534,4.44758,..,..,..,..,..,..,71.0969,6.03729
DZA,..,22.875805528272874,1.0236963930070395,0.029081841566509097,..,..,0.16931,..,..,..,..,62.798,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,85.2903,..
AGO,27.54314180850307,21.09840936011586,-0.17752253003044885,0.2699709287730714,..,..,..,..,..,..,..,57.8252,0.056802
ATG,..,48.74849823913705,6.782192763669583,2.643949183841312,..,..,..,..,..,..,..,..,7.74531
ARG,37.93224825787091,13.667633427351367,0.5847499317239088,0.32043594512420687,3.63857,..,9.11897,31.1342,0.55533,8.5772,37.956,52.4465,2.59117
ARM,54.37077685133849,48.875644374277314,3.1645082206932433,0.6686751240645545,..,..,..,..,..,..,..,54.0047,0.197881
ABW,..,57.22194240091674,0.9234122251354716,-0.014034855042460917,..,..,..,..,..,..,..,..,15.8252
AUS,..,142.42316829596848,3.554585928383326,-0.25715777119525535,148.323,..,95.4801,-2.51233,60.083,68.8091,16.3384,70.7323,20.601
AUT,..,83.1743254030007,-7.3158832437882735,-6.804331565254746,46.9066,..,27.3532,-5.25183,7.35343,24.6344,22.3785,55.3886,51.1234
AZE,28.124030589645542,32.86885402943391,11.882653323778818,6.796328544547639,..,..,..,..,..,..,..,64.7812,..
BHS,75.04883262774028,51.734920568386634,3.2728342743010437,3.0061399856645847,..,..,..,..,..,..,..,60.4078,..
BHR,..,..,0.7549286943033816,-2.730119179726659,23.4755,..,60.9449,-14.5818,0.988083,1.6938,7.07538,79.9314,68.1553
BGD,..,45.27950521676861,1.0535522887012034,0.01829886319378512,..,..,31.0044,-1.22078,..,..,11.2357,28.4736,1.19829
BRB,..,82.22908311494938,11.54635577101004,1.9599033038227747,26.3859,..,67.221,..,..,..,..,100,..
BLR,47.041200435075666,25.717029141960424,2.612805021643198,0.25752966329292565,..,..,..,..,..,..,..,60.4001,0.094084
BEL,..,63.376730150972385,12.094505663585199,7.263459685804084,35.355,..,84.6341,-4.75382,..,..,21.4909,63.981,76.5226
BLZ,..,55.99348679462926,1.829393405863752,0.09606023344121141,..,..,..,..,..,..,..,83.4986,..
BEN,..,17.482372279853337,1.1148813101068333,0.14703585749503725,..,..,..,..,..,..,..,71.3693,12.6737
BMU,..,..,-1.0610831593851284,1.3818126793023229,..,..,..,5.66686,..,..,24.0585,95.2069,..
BTN,..,48.18792134381648,0.550454644081003,0,..,..,..,..,..,..,..,94.1598,..
BOL,76.30410742008353,63.9737731163013,0.9880801494622591,0.26182407741932867,3.89818,..,..,..,..,..,..,43.5242,13.8349
BIH,62.7738685341959,57.86065795657637,1.851782827557348,0.02300970864916313,..,..,..,-16.3627,..,..,12.0547,38.9714,2.2144
BWA,..,31.512723797923258,0.9108997372979605,1.0845575619751286,..,..,..,-3.24084,..,..,3.95492,63.9981,5.01834
BRA,..,62.1695621343597,4.13736263347993,0.8182592045470598,54.7725,..,34.3025,7.25969,26.9546,91.0597,26.6077,69.7937,0.506142
VGB,..,..,..,..,,,,,,,,,
BRN,35.476716516710574,44.301385464947614,-1.3205223378443949,..,..,..,..,..,..,..,..,..,..
BGR,..,52.139422240522215,2.766244002060746,1.5370149181246537,1.21375,..,..,0.471496,..,..,10.4444,55.9377,8.48484
BFA,..,25.80994560265258,3.043803421930809,0.39357679342174645,..,..,..,..,..,..,..,60.8947,25.7157
BDI,..,17.169907257375332,0.0018725364251217555,0.001231340746290532,..,..,..,..,..,..,..,89.8453,4.73853
CPV,..,61.29329383858136,7.595436351299158,0.4707320450193897,..,..,..,..,..,..,..,92.3374,7.18213
KHM,..,81.67383285244024,12.369221434390973,0.39504158979939,..,..,..,..,..,..,..,40.184,0.510534
CMR,..,14.886012485604688,2.033757337741404,-0.11923900110964851,..,..,..,..,..,..,..,74.8536,0.001003
CAN,..,..,2.238350121409034,4.424489549549587,97.2764,..,116.363,-1.87436,72.9138,64.923,14.9701,61.0496,18.58
CYM,..,..,54.67431096789287,-0.8372598460234535,..,..,..,..,..,..,..,100,..
