Country Code,2014_domestic_credit_provided_by_financial_sector_(%_of_GDP),2014_domestic_credit_to_private_sector_(%_of_GDP),2014_foreign_direct_investment_net_inflows_(%_of_GDP),2014_foreign_direct_investment_net_outflows_(%_of_GDP),2014_mutual_fund_assets_to_GDP_(%),2014_investments_financed_by_equity_or_stock_sales_(%),2014_stock_market_capitalization_to_GDP_(%),2014_stock_market_return_(%_year-on-year),2014_stock_market_total_value_traded_to_GDP_(%),2014_stock_market_turnover_ratio_(%),2014_stock_price_volatility,2014_bank_concentration_(%),2014_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,3.9410570999634507,0.2097901074319347,-9.350167504182218e-05,..,9.6,..,..,..,..,..,63.7336,..
ALB,73.18127134107984,39.261688899085,8.693041027162433,0.5718677660718029,4.56787,..,..,..,..,..,..,59.7316,5.7207
DZA,..,18.351978169788037,0.7025892166037707,-0.008685724060424891,..,..,0.080301,..,..,..,..,66.8067,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,93.4377,..
AGO,..,..,2.510095008962253,0.6085917684332045,..,..,..,..,..,..,..,68.7774,0.099567
ATG,..,61.81600222862359,3.7018378093422863,0.5066763048709647,..,..,..,..,..,..,..,..,3.95175
ARG,34.43213956946164,13.823769245515058,0.9624066503255189,0.3649001792937541,2.96968,..,9.23061,103.15,0.482815,7.25059,32.8974,49.5897,2.38094
ARM,51.30102873725577,48.91717310638411,3.50211424719527,0.24810758945355915,0.526257,..,..,..,..,..,..,45.2043,0.131837
ABW,..,60.24055072243285,8.979994274984886,0.3176210960801661,..,..,..,..,..,..,..,..,12.8059
AUS,..,128.5068157888992,4.306383954426297,1.5377260369261858,109.956,..,85.8041,6.6795,48.139,55.8694,11.2953,70.8746,16.2173
AUT,..,87.55558785370033,0.38737336166369846,-0.19804839897333013,47.36,..,24.2463,-2.31537,6.24211,26.7984,16.817,70.1253,54.2007
AZE,..,..,5.8881089160048194,2.640828808538976,..,..,..,..,..,..,..,59.7709,..
BHS,78.61514093379891,58.21123870549696,2.2613973578962527,24.11055434158897,..,..,..,..,..,..,..,82.4886,..
BHR,..,63.87876798860582,4.548430831191892,-1.1813174995897644,20.2698,..,65.4358,22.2903,1.98298,3.2855,7.09008,79.3683,48.8049
BGD,..,43.73612387048529,1.4687128773733205,0.02416046144706462,..,..,..,16.8682,0.378565,..,17.2023,28.3712,1.78378
BRB,..,81.99580240220781,16.047854276893005,-1.4392675894488662,70.7912,..,..,..,0.163506,..,..,90.7918,..
BLR,41.30498487526358,23.632662110242496,2.36252922122526,0.09313085114819233,..,..,..,..,..,..,..,57.9469,0.141347
BEL,..,57.89009668159045,-2.8439302162213815,-0.07822097191053286,31.2227,..,71.0096,18.0193,20.9895,28.4534,14.2124,66.9289,76.4972
BLZ,..,57.317576194576304,8.462428077450525,0.16401105422832316,..,..,..,..,..,..,..,53.9375,..
BEN,..,16.73710913563559,3.0542096277166477,0.1300632244162597,..,..,..,..,..,..,..,..,11.8458
BMU,..,..,-0.053405783174682434,1.8665190032725816,..,..,..,19.3523,..,..,13.6163,97.432,..
BTN,..,45.00597447213546,1.2340750417274855,0,..,..,..,..,..,..,..,100,..
BOL,55.212982897103004,50.322420110554525,1.9898248562969587,-0.10035418376516905,2.53857,..,..,..,..,..,..,52.5062,11.0966
BIH,65.19504757581772,60.216671770694965,2.9359643289955137,0.053676177835249916,..,..,..,-7.40224,..,..,8.71839,43.9111,1.79662
BWA,..,31.018300310395848,3.1702134957017263,0.6853026024890196,..,..,..,9.4258,..,..,3.67388,64.6896,5.19154
BRA,..,66.02851039405598,3.5714255248340967,0.8390434589911776,46.9108,..,36.4523,-1.75833,27.0662,71.953,21.3019,64.5063,0.49025
VGB,..,..,..,..,,,,,,,,,
BRN,25.51766916590918,33.20796806631649,3.3213144833311454,..,..,..,..,..,..,..,..,..,..
BGR,..,59.41207240333456,1.921900981464833,1.5506661942257776,1.0324,..,..,30.2986,..,..,14.3542,49.6466,9.56082
BFA,..,23.405608156112866,2.562551392171389,0.49878953539759685,..,..,..,..,..,..,..,83.2186,21.932
BDI,..,19.2934120175417,3.0212026335012836,0.0010131424165215036,..,8.6,..,..,..,..,..,100,5.51011
CPV,..,63.29313051287658,9.709658571408067,0.6693519332780092,..,..,..,..,..,..,..,82.2495,3.15081
KHM,..,62.662666346411086,11.096894824328636,0.4913210906774856,..,..,..,..,..,..,..,54.8702,0.571579
CMR,..,14.275958569412763,2.0744928306764736,-0.03368773165586979,..,..,..,..,..,..,..,61.517,0.001057
CAN,..,..,3.553903370110022,3.598493803041151,79.803,..,114.269,14.8205,72.447,65.2996,9.52562,60.92,13.9179
CYM,..,..,1092.1106228974259,512.5107683412009,..,..,..,..,..,..,..,100,..
CAF,..,12.791023303241419,0.1833957902955703,..,..,..,..,..,..,..,..,..,..
TCD,..,7.801528789154593,-4.8458299589429314,..,..,..,..,..,..,..,..,..,..
CHI,..,..,..,..,..,..,..,..,..,..,..,..,..
