Country Code,1992_domestic_credit_provided_by_financial_sector_(%_of_GDP),1992_domestic_credit_to_private_sector_(%_of_GDP),1992_foreign_direct_investment_net_inflows_(%_of_GDP),1992_foreign_direct_investment_net_outflows_(%_of_GDP),1992_mutual_fund_assets_to_GDP_(%),1992_investments_financed_by_equity_or_stock_sales_(%),1992_stock_market_capitalization_to_GDP_(%),1992_stock_market_return_(%_year-on-year),1992_stock_market_total_value_traded_to_GDP_(%),1992_stock_market_turnover_ratio_(%),1992_stock_price_volatility,1992_bank_concentration_(%),1992_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,..,..,..,..,..,..,..,..,..,..,..,..
ALB,..,..,3.0666615986489645,0,..,..,..,..,..,..,..,..,..
DZA,..,7.254817644441563,0.062495991938637814,2.083199731287927e-06,..,..,..,..,..,..,..,..,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,..,..
AGO,..,..,..,..,..,..,..,..,..,..,..,..,..
ATG,..,45.03464237496848,3.935284779609207,0,..,..,..,..,..,..,..,..,..
ARG,22.478577756554387,15.445335447407722,1.9367124017248945,0.5096032810811348,..,..,7.99094,54.892,4.3964,86.0864,66.7512,..,..
ARM,..,..,0.1885554015280957,..,..,..,..,..,..,..,..,..,..
ABW,..,43.29177802150801,-3.858597891608489,1.037508194419127,..,..,..,..,..,..,..,..,..
AUS,..,61.98212178095714,1.5211283889387959,1.1805264712509378,6.1,..,42.5068,3.91999,13.3185,30.4543,12.6027,..,..
AUT,..,..,0.7614992028392665,0.9022221000770193,..,..,11.8474,-18.8987,3.37457,20.585,22.9806,..,..
AZE,..,..,..,..,..,..,..,..,..,..,..,..,..
BHS,65.73496301061435,50.813766484400126,0.00964940495336121,0.00964940495336121,..,..,..,..,..,..,..,..,..
BHR,..,37.86386027765338,18.282579489476046,1.1139722346618892,..,..,..,..,..,..,..,..,..
BGD,..,14.54554340304366,0.01173757640384046,0.00031536912388055395,..,..,..,..,..,..,..,..,..
BRB,..,38.52938170669392,0.7383750638732753,0.04343382728666326,..,..,14.5744,..,0.285706,0.703404,..,..,..
BLR,..,..,..,..,..,..,..,..,..,..,..,..,..
BEL,..,..,4.8069343930370785,4.858556825512942,..,..,29.6721,..,3.17265,11.0952,..,..,..
BLZ,..,35.86944757638052,3.008332498361793,0.42425201899974,..,..,..,..,..,..,..,..,..
BEN,..,11.674476617866235,0.05629144209562697,-4.519360434280739,..,..,..,..,..,..,..,..,..
BMU,..,..,..,..,..,..,..,..,..,..,..,..,..
BTN,..,6.8370247003056,..,..,..,..,..,..,..,..,..,..,..
BOL,..,..,1.6495705052501575,0.03543653072503024,..,..,..,..,..,..,..,..,..
BIH,..,..,..,..,..,..,..,..,..,..,..,..,..
BWA,..,14.687296379702557,-0.037722892298464296,0.23776853327516892,..,..,6.66256,12.8597,0.271903,5.42965,..,..,..
BRA,..,84.46590270133369,0.5144792457799159,0.03419876597372561,..,..,4.74675,1505.07,1.6054,110.711,84.14,..,..
VGB,..,..,..,..,,,,,,,,,
BRN,..,..,0.16732208363903156,..,..,..,..,..,..,..,..,..,..
BGR,..,74.86454183266932,0.40094621513944223,-0.026220916334661355,..,..,..,..,..,..,..,..,..
BFA,..,10.926078058660943,0.09274165371515178,0.0036373013360689495,..,..,..,..,..,..,..,..,..
BDI,..,10.721010833138939,0.055407891090943115,0,..,..,..,..,..,..,..,..,..
CPV,..,24.11439243402972,0.12612568884081604,0.3370486750093345,..,..,..,..,..,..,..,..,..
KHM,..,..,..,..,..,..,..,..,..,..,..,..,..
CMR,..,12.520264315453314,0.24191781953710215,0.27383970516813044,..,..,..,..,..,..,..,..,..
CAN,111.1346207293382,76.78692883848053,1.1847376625459995,0.9771070631289196,10.1612,..,79.5665,-1.49865,12.2821,16.0616,8.13846,..,..
CYM,..,..,..,..,..,..,..,..,..,..,..,..,..
CAF,..,4.5076166037412735,-0.7561750258845159,0.41474567944833746,..,..,..,..,..,..,..,..,..
TCD,..,6.087816220176818,0.10419392591057386,0.7319673484970171,..,..,..,..,..,..,..,..,..
CHI,..,..,..,..,..,..,..,..,..,..,..,..,..
CHL,..,..,2.0365793425364256,0.8654537575696937,5.04139,..,64.2243,55.5579,3.92829,6.50793,25.1484,..,..
CHN,..,86.37288168850156,2.613162192843709,0.9369530989041623,..,..,2.40029,311.285,2.07246,164.759,57.7784,..,..
COL,..,25.242160027577633,1.2473684615886456,0.08558861407908917,..,..,9.82995,..,0.994161,11.4365,..,..,..
COM,13.541374126509506,8.33181900781392,-0.3163564180771524,0,..,..,..,..,..,..,..,..,..
COD,..,0.9261818832391753,-0.008873005649717514,..,..,..,..,..,..,..,..,..,..
COG,..,15.756311179804225,0.0933796306267305,0.041183371251932,..,..,..,..,..,..,..,..,..
CRI,..,..,2.6389401962937056,0.051377596742001354,..,..,..,..,..,..,..,..,..
CIV,..,32.05944863007663,0.6191519887904438,..,..,..,4.84782,..,0.052627,0.739815,..,..,..
HRV,..,..,..,..,..,..,..,..,..,..,..,..,..
CUB,..,..,..,..,..,..,..,..,..,..,..,..,..
CUW,..,..,..,..,..,..,..,..,..,..,..,..,..
CYP,..,..,1.554380411211554,0.21239980774319434,..,..,18.1093,..,1.11928,7.11009,..,..,..
CZE,..,..,..,..,..,..,..,..,..,..,..,..,..
DNK,..,39.3445742310382,0.6653245233293761,1.4622778755162733,..,..,26.2729,-14.756,8.46849,37.846,13.7434,..,..
DJI,..,41.17771683478302,0.4790433257612311,..,..,..,..,..,..,..,..,..,..
DMA,..,41.77321349452497,8.720488638521422,0,..,..,..,..,..,..,..,..,..
DOM,..,..,1.548419450527057,0,..,..,..,..,..,..,..,..,..
ECU,..,..,0.9837385737314028,0,..,..,..,..,..,..,..,..,..
EGY,..,22.270452911574406,1.0966173256649894,0.009556578001437815,..,..,6.70001,..,0.378776,6.95355,..,..,..
SLV,..,..,0.26334813643754523,..,..,..,..,..,..,..,..,..,..
GNQ,..,21.219497298666283,4.4677054058845025,0,..,..,..,..,..,..,..,..,..
ERI,..,..,..,..,..,..,..,..,..,..,..,..,..
EST,..,..,..,..,..,..,..,..,..,..,..,..,..
SWZ,..,18.64610850206513,6.795533449837129,2.581756884958206,..,..,5.20516,..,..,..,..,..,..
ETH,39.3341795624876,2.1232638994390007,0.0016201287730071847,0,..,..,..,..,..,..,..,..,..
FRO,..,..,..,..,..,..,..,..,..,..,..,..,..
FJI,..,..,2.4661491151609702,-2.6098630864846135,..,..,..,..,..,..,..,..,..
FIN,..,..,0.3522268197403185,-0.6727318652456332,..,..,11.0615,-19.8025,1.48063,15.7178,16.9394,..,..
FRA,..,..,1.558332663818176,2.2311645036749694,..,..,25.4082,4.75207,8.89639,32.7851,18.6304,..,..
PYF,..,..,0.0008431193469331408,..,..,..,..,..,..,..,..,..,..
GAB,..,10.944361125748179,2.269871502622606,0.4593787564831464,..,..,..,..,..,..,..,..,..
GMB,..,3.7272170083101264,0.885295183023634,0,..,..,..,..,..,..,..,..,..
GEO,..,..,..,..,..,..,..,..,..,..,..,..,..
DEU,..,..,-0.10028883558063026,0.8957405143386397,..,..,17.1495,0.805358,21.2274,118.12,16.926,..,..
GHA,..,4.941929269054096,0.35080051732595996,-0.35080051732595996,..,..,1.1669,..,..,..,..,..,..
GIB,..,..,..,..,..,..,..,..,..,..,..,..,..
GRC,..,..,0.9843004689209048,0.04000699580759111,0.144679,..,9.48011,-21.3005,3.19127,14.5132,26.3939,..,..
GRL,..,..,..,..,..,..,..,..,..,..,..,..,..
GRD,..,37.61732876126717,7.2805807078104925,0,..,..,..,..,..,..,..,..,..
GUM,..,..,..,..,..,..,..,..,..,..,..,..,..
GTM,..,..,0.9012682934003744,0,..,..,..,..,..,..,..,..,..
GIN,..,3.609236339972701,0.5994604168382426,0.015290051882405861,..,..,..,..,..,..,..,..,..
GNB,..,10.156840738562902,2.57607321218784,0,..,..,..,..,..,..,..,..,..
GUY,265.76452475713614,21.47209954208927,39.245326742842465,-0.5353703941455898,..,..,..,..,..,..,..,..,..
HTI,..,10.147854657904908,-0.0974692694240433,0,..,..,..,..,..,..,..,..,..
HND,..,..,0.9628415124187073,-0.02022776286593923,..,..,..,..,..,..,..,..,..
