Country Code,1986_domestic_credit_provided_by_financial_sector_(%_of_GDP),1986_domestic_credit_to_private_sector_(%_of_GDP),1986_foreign_direct_investment_net_inflows_(%_of_GDP),1986_foreign_direct_investment_net_outflows_(%_of_GDP),1986_mutual_fund_assets_to_GDP_(%),1986_investments_financed_by_equity_or_stock_sales_(%),1986_stock_market_capitalization_to_GDP_(%),1986_stock_market_return_(%_year-on-year),1986_stock_market_total_value_traded_to_GDP_(%),1986_stock_market_turnover_ratio_(%),1986_stock_price_volatility,1986_bank_concentration_(%),1986_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,..,..,..,..,..,..,..,..,..,..,..,..
ALB,..,..,0,0,..,..,..,..,..,..,..,..,..
DZA,..,69.31185042709089,0.008347215502926176,-0.008347215502926176,..,..,..,..,..,..,..,..,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,..,..
AGO,..,..,3.3065821311996704,0,..,..,..,..,..,..,..,..,..
ATG,..,32.97868300471374,7.781293571322749,0,..,..,..,..,..,..,..,..,..
ARG,32.86968580042267,16.907229494896885,0.5174227099403901,0.010095863269136468,..,..,1.32878,..,0.25037,16.2285,..,..,..
ARM,..,..,..,..,..,..,..,..,..,..,..,..,..
ABW,..,39.47631387095413,0,0,..,..,..,..,..,..,..,..,..
AUS,..,40.388948662772826,2.9498190220212743,1.8779253676853989,..,..,47.3696,34.6338,10.0513,26.2795,11.7302,..,..
AUT,..,..,0.18518579343936,0.2976200251703675,..,..,6.53272,..,1.15627,18.4798,..,..,..
AZE,..,..,..,..,..,..,..,..,..,..,..,..,..
BHS,43.97168857431749,39.664307381193126,-0.5338725985844287,5.231258170115268,..,..,..,..,..,..,..,..,..
BHR,..,49.32386512154744,-1.045569399668904,0.8874852049433825,..,..,..,..,..,..,..,..,..
BGD,..,12.74331351870194,0.011189931175101229,0,..,..,..,..,..,..,..,..,..
BRB,..,31.838098297462253,0.5007251847092836,0.17767667844522966,..,..,..,..,..,..,..,..,..
BLR,..,..,..,..,..,..,..,..,..,..,..,..,..
BEL,..,..,0.6081214589206486,1.4356085738638609,..,..,26.9681,..,3.20679,14.7549,..,..,..
BLZ,..,25.85194015461072,1.985854494784986,1.6189031207486297,..,..,..,..,..,..,..,..,..
BEN,..,28.660253804609898,0.08232904123215451,0,..,..,..,..,..,..,..,..,..
BMU,..,..,..,..,..,..,..,..,..,..,..,..,..
BTN,..,2.7908870203463003,..,..,..,..,..,..,..,..,..,..,..
