Country Code,2011_domestic_credit_provided_by_financial_sector_(%_of_GDP),2011_domestic_credit_to_private_sector_(%_of_GDP),2011_foreign_direct_investment_net_inflows_(%_of_GDP),2011_foreign_direct_investment_net_outflows_(%_of_GDP),2011_mutual_fund_assets_to_GDP_(%),2011_investments_financed_by_equity_or_stock_sales_(%),2011_stock_market_capitalization_to_GDP_(%),2011_stock_market_return_(%_year-on-year),2011_stock_market_total_value_traded_to_GDP_(%),2011_stock_market_turnover_ratio_(%),2011_stock_price_volatility,2011_bank_concentration_(%),2011_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,4.959180376060273,0.29303843238924315,0.0063868719248320206,..,..,..,..,..,..,..,66.5181,..
ALB,70.30972742109304,41.15368446246505,8.135332974247445,1.5677114224988309,..,..,..,..,..,..,..,55.2641,2.46259
DZA,..,13.715923360026721,1.2855347051926234,0.2669414308218625,..,..,0.075879,..,..,..,..,71.067,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,93.4249,..
AGO,..,..,-2.7048747173995324,1.871945895998563,..,..,..,..,..,..,..,65.3494,..
ATG,..,76.62780552281858,5.7277140401481965,0,..,..,..,..,..,..,..,..,..
ARG,26.465961071620335,14.008715116812443,2.0446400800307067,0.2806682491440064,1.28413,..,9.86244,22.1574,0.460519,4.69392,25.7495,43.4559,2.38079
ARM,36.3814480131175,35.367887872035006,6.4406683670536164,2.160117621046996,..,..,1.41335,..,0.005217,0.375462,..,38.176,0.112843
ABW,..,58.19489482909729,19.145486415425083,0.12269938650306743,..,..,..,..,..,..,..,..,4.75921
AUS,..,122.33484143377345,4.693723914059159,0.5907449971300125,103.288,..,101.896,-2.50067,86.2762,79.2957,15.8344,68.6319,13.2221
AUT,..,96.06109928698625,5.331213212198524,8.847944265234869,43.4013,..,25.4614,-3.39986,10.5262,35.3358,24.4206,70.0001,57.0568
AZE,..,..,6.800620682769479,5.386581272992588,..,..,..,..,..,..,..,56.8325,..
BHS,83.5911006955995,66.01393185011594,6.619575093466529,5.20362049362243,..,..,..,..,..,..,..,76.8492,..
BHR,..,69.55268022181146,2.713493530499075,3.105360443622921,29.1143,..,63.3116,-10.2202,0.766575,0.856966,9.47327,78.7979,47.0064
BGD,..,42.47024116297718,0.9831665339193907,0.23121824929763696,..,..,34.3251,..,2.74063,5.03778,..,37.9275,1.52267
BRB,..,..,9.866944420075148,12.028170095115403,..,..,72.3086,..,1.59914,3.47691,..,89.4856,6.43004
BLR,30.749726081791408,37.958618366450224,6.480801965857866,0.2032132337385474,..,..,..,..,..,..,..,60.9373,0.16272
BEL,..,55.420969561755015,31.306951916506964,24.702394031827264,22.0055,..,48.9082,-3.82008,20.6371,40.0583,19.0846,69.9925,87.6469
