Country Code,2001_domestic_credit_provided_by_financial_sector_(%_of_GDP),2001_domestic_credit_to_private_sector_(%_of_GDP),2001_foreign_direct_investment_net_inflows_(%_of_GDP),2001_foreign_direct_investment_net_outflows_(%_of_GDP),2001_mutual_fund_assets_to_GDP_(%),2001_investments_financed_by_equity_or_stock_sales_(%),2001_stock_market_capitalization_to_GDP_(%),2001_stock_market_return_(%_year-on-year),2001_stock_market_total_value_traded_to_GDP_(%),2001_stock_market_turnover_ratio_(%),2001_stock_price_volatility,2001_bank_concentration_(%),2001_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,..,..,..,..,..,..,..,..,..,..,..,..
ALB,..,..,5.285434536635191,0,..,..,..,..,..,..,..,100,..
DZA,..,8.014262619077698,2.0332653519236765,0.016987937869667107,..,..,0.425517,..,..,..,..,73.3913,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,85.0385,..
AGO,..,..,24.009117061571462,0,..,..,..,..,..,..,..,99.343,..
ATG,..,62.402535511035026,12.299125526303612,0,..,..,..,..,..,..,..,95.5284,..
ARG,37.243363754864916,20.833574652466027,0.8061641347593484,0.05987295622115229,1.396,..,14.7421,-27.1966,2.94154,16.8183,33.4087,35.1917,0.405052
ARM,..,..,3.298067417436928,0,..,..,0.100805,..,0.001541,1.53758,..,81.2846,0.251393
ABW,..,46.01885365144021,-13.901658423043353,-0.19202793133546714,..,..,..,..,..,..,..,..,5.72808
AUS,..,88.65182692116767,2.83240234431957,3.53638342863248,88.3138,..,91.7903,1.94674,55.8957,69.2662,12.6921,74.3444,5.25365
AUT,..,89.71336187972271,2.8830929822832494,1.5313313937040725,44.8856,..,13.8117,2.5583,4.25206,26.8336,14.7083,88.3676,42.398
AZE,..,..,14.359130158401687,10.390593080743473,..,..,..,..,..,..,..,87.251,..
BHS,56.06390128194493,46.91367820693618,1.2307296494398179,1.134586785255289,..,..,..,..,..,..,..,64.5287,..
BHR,..,41.815676804788076,0.8952439444461859,2.4058702302631674,..,..,..,..,..,..,..,78.5893,129.922
BGD,..,24.179592705354967,0.14544390456992448,0.03815430240580496,..,..,2.78652,..,1.04708,17.3548,..,89.5957,..
BRB,..,59.2481420854477,2.99574106858733,0.8375347847438206,..,..,56.6889,..,0.932431,0.582977,..,100,..
BLR,..,..,0.7754058649523676,0.0024282020823143038,..,..,..,..,..,..,..,76.7767,0.188591
BEL,..,66.29922874353709,37.288733475980656,42.54905593529269,32.2811,..,72.5772,-6.12791,15.9127,21.8839,14.2456,80.0213,88.2942
BLZ,..,44.39582257950642,7.0448867422925945,0.0013722439382576515,..,..,..,..,..,..,..,100,..
BEN,..,5.13608000150082,0.4565881838999985,-0.6778062762626392,..,..,..,..,..,..,..,81.067,2.30474
BMU,..,..,1.1357205019015166,0.6194839101281001,..,..,63.9047,48.5491,4.74123,9.05612,21.3267,..,..
BTN,..,10.09779312888235,..,..,..,..,..,..,..,..,..,..,..
BOL,..,..,8.668583324284308,0.03168934444291443,..,..,19.6104,..,0.410234,0.07968,..,66.4799,8.42472
BIH,..,..,2.0611472536676727,0,..,..,..,..,..,..,..,56.8837,..
BWA,..,16.58616021069111,0.5588845238802124,6.915816310268327,..,..,19.3462,36.1777,0.968247,6.11842,..,84.8783,1.80555
BRA,..,29.004038021004302,4.152126833123148,-0.2662078661513429,26.1761,..,32.3789,-13.7135,12.3472,35.5992,32.4754,38.916,0.60739
VGB,..,..,..,..,,,,,,,,,
BRN,..,..,1.0836218901056525,..,..,..,..,..,..,..,..,..,..
BGR,..,14.337998949742548,5.731605871045067,0.06811180628524117,0.034714,..,0.737358,-16.8326,0.256997,67.7344,..,60.1006,5.67154
BFA,..,9.70866810828925,0.19643673810310391,0.018728622396907098,..,..,..,..,..,..,..,71.5342,1.731
BDI,..,16.302832343421493,-0.0013048564735641045,-0.0010438851788512834,..,..,..,..,..,..,..,89.1207,..
CPV,..,31.05413425986172,1.6003190044683364,0.07469386200407584,..,..,..,..,..,..,..,..,..
KHM,..,5.987943225441814,3.6767564270661706,0.10975194578771194,..,..,..,..,..,..,..,..,0.544588
CMR,..,8.273622766450387,-0.11240785656558988,-0.47952784643904245,..,..,..,..,..,..,..,75.5759,..
CAN,197.19276763052244,121.35283176137033,3.841921292924778,4.984136699353842,40.2986,..,92.6903,-19.7636,71.7765,65.3357,24.753,64.7608,3.43355
CYM,..,..,..,..,..,..,..,..,..,..,..,73.6188,..
CAF,..,6.109479138773054,0.5563118204710578,..,..,..,..,..,..,..,..,..,..
TCD,..,4.338486053348002,26.879514653784813,..,..,..,..,..,..,..,..,100,..
CHI,..,..,..,..,..,..,5.58944,..,0.742698,17.1649,..,..,..
CHL,83.70994563141566,73.6347576612733,5.91683227386182,2.2678694853507047,7.10264,..,76.0085,2.51832,6.34484,7.54599,15.0599,40.2497,3.79386
CHN,..,110.0445907061264,3.513002120086423,0.723908540504494,..,..,41.6398,3.93944,45.363,81.3797,19.8094,41.8209,..
COL,38.45913613755206,21.906612599265713,2.5882265845742722,0.016412955635535617,..,..,11.2777,..,0.967832,3.20548,..,48.7936,7.25896
COM,5.727211855268473,4.24062290059447,0.3027420490212772,..,..,..,..,..,..,..,..,..,..
COD,..,0.5439040711067741,1.3742847704076124,0.012099719271182117,..,..,..,..,..,..,..,88.6694,..
COG,..,4.897427134697066,-4.84002634191902,-7.390936068066617,..,..,..,..,..,..,..,..,..
CRI,..,..,3.8923361753799677,0.42829116665385564,10.1678,..,17.8335,20.3186,..,4.12478,28.2615,54.2787,0.824
CIV,..,14.17237616474534,2.4341304376798196,-0.04623347910645313,..,..,6.3302,..,0.186914,1.21381,..,77.2353,1.471
HRV,..,36.295388787546415,4.496933813852475,0.5536461077699718,1.29552,..,12.6348,..,0.658243,3.93869,..,56.0376,0.86173
CUB,..,..,..,..,..,..,..,..,..,..,..,90.35,..
CUW,..,..,..,..,..,..,..,..,..,..,..,..,..
CYP,..,144.41928065564127,9.085903295432106,2.3960586652651052,..,..,52.9675,..,59.2397,67.0123,..,69.4944,8.22943
CZE,..,37.11072665701482,8.31864159453878,0.24285588824010462,3.46629,..,13.579,-25.4899,7.70979,37.6059,24.2008,77.454,4.75677
DNK,..,138.83001104977782,5.635246990161271,7.981929987482421,20.5296,..,59.1309,-2.51224,46.8104,67.7589,20.449,85.0712,22.9097
DJI,..,26.440422055900587,0.5927420068298033,..,..,..,..,..,..,..,..,..,..
DMA,..,47.8556420445267,5.031081595993678,0,..,..,..,..,..,..,..,..,..
DOM,..,..,4.249316338076066,0.034372629630544514,..,..,..,..,..,..,..,58.1013,..
ECU,..,..,2.2010848604505973,0,1,..,4.39577,13.0084,0.05247,0.900916,42.6034,46.7564,..
EGY,..,54.93114022860329,0.5273847226094229,0.012825202118762195,0.963,..,26.1513,-33.1054,7.32341,15.2644,31.2017,60.8015,..
SLV,51.66699341767491,45.91287289502827,2.2707041485317,-0.07897393417266939,..,..,12.4242,..,0.17892,1.3548,..,72.7967,0.975403
GNQ,..,3.47007757207302,64.3841004514478,..,..,..,..,..,..,..,..,..,..
ERI,..,29.030116606454303,1.6124580670717987,..,..,..,..,..,..,..,..,..,..
EST,..,..,9.472202450550956,4.0013706171490675,..,..,26.6324,-8.28651,4.71558,13.2363,20.7914,97.7284,60.0332
SWZ,..,8.8059183776714,1.901492054007645,-1.147410554394888,..,..,6.01897,..,0.271894,9.15541,..,100,0.58836
ETH,44.19834474699649,17.778546785567045,4.244759584308511,..,..,..,..,..,..,..,..,97.5868,..
FRO,..,..,..,..,..,..,..,..,..,..,..,..,..
FJI,71.92680233125998,35.433731039074964,2.499412472914376,0.16012410392831433,..,..,10.6539,..,..,..,..,..,..
FIN,..,52.6491051490089,2.4916432226689498,6.139918402301083,10.0062,..,185.637,-42.5948,149.544,74.6097,54.646,99.97,27.6584
FRA,..,76.97940296711415,3.6428127196956983,6.347631358356115,60.1525,..,94.0251,-20.0325,73.9665,75.7897,23.2821,59.3824,38.2682
PYF,..,..,..,..,..,..,..,..,..,..,..,..,..
GAB,..,12.521323566985629,-2.002988966314974,-0.1546610014665281,..,..,..,..,..,..,..,100,..
GMB,..,8.321402009069507,5.161411922716066,..,..,..,..,..,..,..,..,..,..
GEO,..,..,3.412704530577914,0.12710714114474078,..,..,1.71965,..,0.142213,11.5599,..,71.4981,..
DEU,..,112.41732324636737,2.9292899609383447,3.6130764961461352,35.6513,..,59.1272,-19.2227,78.9352,112.805,22.952,66.3998,24.8657
GHA,..,11.884391260895466,1.6805552826714507,0.17975126115797924,..,..,6.59341,..,0.168288,3.56701,..,100,..
GIB,..,..,..,..,..,..,..,..,..,..,..,..,..
GRC,..,50.081392994740035,0.0014694519913877782,-0.7140003289433638,11.4274,..,60.8667,-34.1573,46.2605,44.7918,32.1404,..,5.0054
GRL,..,..,..,..,..,..,..,..,..,..,..,..,..
GRD,..,63.08051818699312,11.288078495342253,0,..,..,..,..,..,..,..,..,..
GUM,..,..,..,..,..,..,..,..,..,..,..,..,..
GTM,27.72304134938065,22.76671319178672,-5.088204498341115,-7.563201106564206,..,..,..,..,..,..,..,39.9597,..
GIN,..,4.041163557663402,0.05926976350668768,0.1767136657921517,..,..,..,..,..,..,..,..,..
GNB,..,0.40258056218639565,0.10076211090417839,-0.10076211090417839,..,..,..,..,..,..,..,..,..
GUY,91.86359083099583,60.72085952424145,7.863317836523398,0.028785359937273155,..,..,..,..,..,..,..,100,..
HTI,..,8.300163102227506,0.06912904210141933,0,..,..,..,..,..,..,..,..,..
HND,34.482202600219395,36.683566205737925,4.049400434705872,0.10957502686788438,..,..,..,..,..,..,..,49.56,..
HKG,..,148.97663127809122,18.47173605595937,11.97493688799913,168.362,..,335.351,-21.8015,181.069,41.9281,29.229,74.614,65.5143
HUN,..,32.64294902575061,7.551293738403668,0.9679787675777676,4.60805,..,21.1832,-21.0943,16.2014,42.4885,25.9289,53.5485,1.00912
ISL,..,95.10071535722211,1.9848064713314568,4.032733633272529,12.583,..,47.6293,-26.8188,18.8827,34.9445,13.9565,100,0.178635
IND,..,28.61941542541017,1.0563783050965738,0.2171493933870368,3.8452,..,25.6134,-24.2947,17.1706,197.045,31.8523,34.7914,0.063765
IDN,..,..,-1.8556861930052306,0,..,..,14.0069,-20.2878,6.32114,42.8863,24.3951,56.1389,1.09138
IRN,..,30.07958278221138,0.321660450664957,0.039407702143483554,..,..,13.7364,..,2.42173,8.99267,..,..,..
IRQ,..,..,-0.01839871976394961,..,..,..,..,..,..,..,..,..,..
IRL,..,71.82301756468257,8.839365579488016,3.723434198202518,175.784,..,71.1719,7.13447,16.8164,28.947,18.1445,81.9389,275.77
IMN,..,..,..,..,..,..,..,..,..,..,..,..,..
ISR,..,76.55251856610437,1.351549614965308,0.524428414365526,..,..,46.9346,-20.9814,16.4527,24.4412,24.3676,71.7539,4.65812
ITA,..,60.34992479211867,1.2748863203967442,1.4026824523111032,29.9928,..,55.1454,-20.4073,67.6194,93.5573,21.7965,66.7596,27.1814
