Country Code,1995_domestic_credit_provided_by_financial_sector_(%_of_GDP),1995_domestic_credit_to_private_sector_(%_of_GDP),1995_foreign_direct_investment_net_inflows_(%_of_GDP),1995_foreign_direct_investment_net_outflows_(%_of_GDP),1995_mutual_fund_assets_to_GDP_(%),1995_investments_financed_by_equity_or_stock_sales_(%),1995_stock_market_capitalization_to_GDP_(%),1995_stock_market_return_(%_year-on-year),1995_stock_market_total_value_traded_to_GDP_(%),1995_stock_market_turnover_ratio_(%),1995_stock_price_volatility,1995_bank_concentration_(%),1995_gross_portfolio_debt_assets_to_GDP_(%)
AFG,..,..,..,..,..,..,..,..,..,..,..,..,..
ALB,..,..,2.925485966576154,0,..,..,..,..,..,..,..,..,..
DZA,..,5.199387035094845,2.3943885876927807e-06,2.3943885876927807e-06,..,..,..,..,..,..,..,..,..
ASM,..,..,..,..,,,,,,,,,
AND,..,..,..,..,..,..,..,..,..,..,..,..,..
AGO,..,..,8.49502107849993,-0.01798165870811772,..,..,..,..,..,..,..,..,..
ATG,..,45.350300899490584,5.454043858185881,0,..,..,..,..,..,..,..,..,..
ARG,27.867950746371328,19.960607560891248,2.1739275897499706,0.5802189071693696,..,..,14.4655,-26.7474,28.0453,85.474,42.208,..,..
ARM,..,..,1.7244227571625588,0,..,..,..,..,..,..,..,..,..
ABW,..,43.06822076026485,-0.41884373743997627,0.1269223446764115,..,..,..,..,..,..,..,..,..
AUS,..,69.95419051412651,3.6133670583393207,1.1017072379669055,8.18,..,65.9731,-1.30935,28.2136,40.5332,12.9037,..,..
AUT,..,..,0.7571784340604789,0.4495355900367031,..,..,13.2549,-9.86223,4.79876,40.692,13.3571,..,..
AZE,..,..,13.653347783297404,0,..,..,..,..,..,..,..,..,..
BHS,74.7739865850102,60.07874015748031,3.1175269757946924,0.005832604257801108,..,..,..,..,..,..,..,..,..
BHR,..,43.09357293323511,7.361126807382622,-0.2748258032341674,..,..,..,..,2.29815,..,..,..,..
BGD,..,20.881760737261615,0.00499837818821928,0.004480788764221935,..,..,3.86794,..,0.340432,10.2256,..,..,..
BRB,..,42.50325185019063,2.877965523137362,0.14885153621888314,..,..,22.1305,..,0.194402,0.621272,..,..,..
BLR,..,..,0.10897589021688096,0.001927464724924425,..,..,..,..,..,..,..,..,..
BEL,..,..,3.7110244473466794,4.028461521285425,..,..,34.1008,..,5.18614,15.3894,..,..,..
BLZ,..,35.17264443940207,3.3928492269207253,0.40762544868800543,..,..,..,..,..,..,..,..,..
BEN,..,7.4284051541475815,-0.35666863999336057,-0.9710369746207691,..,..,..,..,..,..,..,..,..
BMU,..,..,..,..,..,..,..,-6.44083,1.5807,..,12.3519,..,..
BTN,..,7.969406058436543,0.017213789694624823,..,..,..,..,..,..,..,..,..,..
BOL,..,..,5.84790923228249,0.029783087508441504,..,..,0.859707,..,0.013978,1.73217,..,..,..
BIH,..,..,..,..,..,..,..,..,..,..,..,..,..
BWA,..,11.893443747998353,1.4884593080670414,0.8647094545840294,..,..,6.92237,-4.16833,0.711271,11.5766,..,..,..
BRA,..,43.49452481688978,0.6316087326659003,0.17990254908615066,..,..,18.4166,23.8738,8.85927,55.9166,63.4141,..,..
VGB,..,..,..,..,,,,,,,,,
BRN,..,..,12.31005696773826,..,..,..,..,..,..,..,..,..,..
BGR,..,27.53861084066669,0.4762079458923019,-0.04214229609666389,..,..,0.258124,..,0.015405,8.62394,..,..,..
BFA,..,6.785180138333017,0.412551083649696,0.008419409869801598,..,..,..,..,..,..,..,..,..
BDI,..,12.265663713531112,0.19810737848951104,0.060032538936215435,..,..,..,..,..,..,..,..,..
CPV,..,27.592353395702606,5.37425869038076,0.11779153222591246,..,..,..,..,..,..,..,..,..
KHM,..,3.4789328471523504,4.382185008904435,..,..,..,..,..,..,..,..,..,..
CMR,..,7.425349358785619,0.15075023899409018,0.08397228166779575,..,..,..,..,..,..,..,..,..
CAN,111.00590730940574,74.18673467048987,2.261072613335276,2.6204735936536276,20.078,..,103.553,3.43763,28.1858,29.3216,9.57629,..,..
CYM,..,..,..,..,..,..,..,..,..,..,..,..,..
CAF,..,4.159714052214209,0.5559102426147146,0.1277066825523429,..,..,..,..,..,..,..,..,..
TCD,..,3.850477655875259,2.255420133516766,-0.16973151883240714,..,..,..,..,..,..,..,..,..
CHI,..,..,..,..,..,..,..,..,..,..,..,..,..
CHL,..,..,4.026028906213383,1.02386666806644,3.55182,..,99.2597,10.3383,11.2855,15.2064,24.0314,..,..
CHN,..,84.206050702349,4.880444159825624,0.2722763219165629,..,..,6.28324,-2.41896,10.2319,108.814,68.0215,..,..
COL,..,33.663429584506865,1.0468022409757367,0.2769516065207886,..,..,16.8684,..,2.06814,8.03617,..,..,..
COM,9.821207103447813,6.385460591149517,0.22323972862827401,0,..,..,..,..,..,..,..,..,..
COD,..,1.063120141223313,-0.3957829766173303,0.0035477503151037605,..,..,..,..,..,..,..,..,..
COG,..,8.112384018178375,5.329956171065723,-0.5017988756843115,..,..,..,..,..,..,..,..,..
CRI,..,..,2.9096796419210147,0.047501448591764854,..,..,4.89038,21.5799,0.154622,2.79547,10.7816,..,..
CIV,..,18.504632309481558,1.9250728518627893,0.06371315446567671,..,..,0.389717,..,0.126774,32.8906,..,..,..
HRV,..,26.02416809435497,0.4795006773365066,0.032446400960500256,..,..,3.91081,..,1.35011,35.1785,..,..,..
CUB,..,..,..,..,..,..,..,..,..,..,..,..,..
CUW,..,..,..,..,..,..,..,..,..,..,..,..,..
CYP,..,..,2.4477353979411998,0.1579901938671142,..,..,21.0909,..,2.98697,15.4285,..,..,..
CZE,..,65.0323935385822,4.268803449262236,0.060874576526850604,7.46927,..,13.2285,-37.409,3.67726,34.7126,14.544,..,..
DNK,..,30.345743214840205,2.237442891738651,1.6046267899867732,..,..,29.6907,-4.17713,15.0454,47.7088,13.0321,..,..
DJI,..,42.84729130867324,0.6466491815139721,..,..,..,..,..,..,..,..,..,..
DMA,..,46.49599978413675,19.70426734663591,0,..,..,..,..,..,..,..,..,..
DOM,..,..,2.5088098596535997,0.01863275171280824,..,..,..,..,..,..,..,..,..
ECU,..,..,1.8519303403166532,..,..,..,9.64382,32.4782,0.375981,4.77451,27.6553,..,..
EGY,..,32.733823529411765,0.994028431372549,0.15458970588235293,..,..,10.3026,..,1.22268,10.9229,..,..,..
SLV,..,..,0.42633315545864536,..,..,..,..,..,..,..,..,..,..
GNQ,..,4.7976240301550765,89.47561290381077,0,..,..,..,..,..,..,..,..,..
ERI,..,17.095910037574676,..,..,..,..,..,..,..,..,..,..,..
EST,..,..,4.597945371101626,0.17377228944415427,..,..,..,..,..,..,..,..,..
SWZ,..,15.061049797130302,3.0463035501358737,1.2121504777465808,..,..,20.0494,..,0.075311,0.111556,..,..,..
ETH,30.1414341545729,7.7330708606491605,0.18449932766334115,..,..,..,..,..,..,..,..,..,..
FRO,..,..,..,..,..,..,..,..,..,..,..,..,..
FJI,..,..,-1.1512232089450358,-4.825032697051772,..,..,2.5417,..,..,..,..,..,..
FIN,..,..,1.0810883434825032,1.416476336888306,..,..,33.5866,3.83197,13.1223,42.612,17.5758,..,..
FRA,..,..,1.4825044415368271,0.9881339114714817,38.6863,..,31.405,-9.15164,13.774,42.0142,17.7411,..,..
PYF,..,..,0.0522301410709062,0.025110644745627977,..,..,..,..,..,..,..,..,..
GAB,..,7.921784098254686,-3.9423882892846165,3.106819489721322,..,..,..,..,..,..,..,..,..
GMB,..,4.836178453918538,0.9833687971354631,0,..,..,..,..,..,..,..,..,..
