Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,14.5,15.1,15.6,14.8,15.5,14.2,13.7,13,12.8,13.4
Bulgaria,25.6,25.4,26.1,24.7,23,22.8,19.5,19.1,17.5,19.2
Czechia,15,15.8,15.6,15,14.9,13.6,12.4,12.5,13.2,14.3
Denmark,9.1,9.3,8.9,8.9,9.1,9.2,10.5,10.2,10,10.8
Germany,11.3,10.9,10.4,10.4,10.2,10.5,10,9.6,9.3,9.9
Estonia,16.6,16.5,15.3,15.2,13.3,14.9,12.6,12.6,11.6,13.2
Ireland,23.1,22.4,20,18.4,17.1,15.6,13.9,12.7,12.6,15.2
Greece,25,29.1,30.8,29.5,27.1,25.6,24.2,22.3,20.7,21.3
Spain,21.7,23.6,24,22.4,20.9,19.5,17.9,16.7,16,18.8
France,15.6,16.1,14.7,15.1,15.7,15.6,15,14.5,14,15.1
Croatia,20.4,21.7,23.2,22.2,21.1,20.6,18.9,16.2,15,16.1
Italy,23.7,24.8,27.2,27.4,26.9,26,25.5,24.8,23.8,25.1
Cyprus,15,17.4,20.3,19.5,18.7,18.8,18,15.4,14.6,15.1
Latvia,20.2,18.2,16.3,16.6,14.7,14.4,13.8,12.7,12,12.9
Lithuania,16.1,15.3,14.1,13.5,12.6,12,11.5,10.6,11.6,13.3
Luxembourg,7.4,8.4,8.5,8.1,8.4,8.1,7.7,8.3,6.9,8.2
Hungary,20.2,20.9,20.4,18.1,16.9,15.8,15,14.7,14.6,16.7
Malta,14.2,13.9,12.9,13.1,13.2,10.6,10.4,9.3,9.6,10
Netherlands,7,7.7,8.8,8.8,8.1,7.9,7.3,6.8,7,6.8
Austria,9.6,9,9.8,10,9.9,9.8,9.3,9.4,9.2,10.6
Poland,16.4,16.9,17.4,16.7,15.8,15.1,14.3,13.7,13.4,13.8
Portugal,14.2,16.6,17.1,15.2,13.5,13.2,11.2,9.9,9.5,11.6
Romania,20,20.1,20.5,20,21.1,20.8,18.7,18,17.3,17.8
Slovenia,9.6,11.8,13.2,13.6,12.5,11.5,9.9,9.5,9,9.5
Slovakia,20.9,21.2,21.5,21.4,19.9,18.2,18.6,17.2,17.2,17.7
Finland,11.1,11.5,12.1,12.9,13.1,12.7,12.4,11.2,10.3,11
Sweden,7.9,8.3,7.9,7.7,7.4,7.2,6.9,6.9,6.4,7.6
Iceland,8.3,7.4,7.3,7.3,5.8,5.4,4.5,5.7,5.7,8.3
Norway,7.4,7.2,7.5,7.9,8.1,8.3,7.9,7.7,7.3,7.8
Switzerland,8.9,8.6,8.8,8.5,8.2,8,7.9,7.3,6.7,6.9
United Kingdom,15.8,15.5,15,13.7,13.3,13,12.2,12,11.7,:
Montenegro,27.8,27.4,26.4,25.1,25.6,24.8,23.4,23,24.2,28.6
North Macedonia,33.8,33.9,33.1,33.9,33.9,32.3,32.5,31.4,26.7,27.6
Serbia,28.4,28.6,27.8,27.1,26.1,23.8,23,21.2,19.9,20.7
Turkey,34,32.9,30.9,30.2,29.6,29.4,29.1,29.1,30.9,33.6
