Country Code,2006_owner_occupied_housing,2006_overburden_rate,2006_total_outstanding_residential_loans_to_GDP,2006_social_hosuing_stock,2006_real_estate_tax_to_GDP,2006_dealing_with_construction_permits_score_2006M,2006_dealing_with_construction_permits_score_2015M
BEL,73.7,32.4,,,3.14,73.2,..
BGR,85.4,42.2,,,,59.8,..
CZE,74.1,29.7,,,0.4,54.3,..
DNK,67.4,34.1,,,1.83,91.6,..
EST,87.8,13.9,,,0.24,86,..
FIN,73.3,11.3,,,1.06,79.5,..
FRA,62.5,15.6,,,3.49,75.7,..
HUN,87.6,37.8,,,0.81,66.7,..
IRL,78.0,17.4,,,2.7,61.5,..
ISL,86.2,13.2,,,2.12,74.1,..
ITA,72.9,27.6,,,2.04,64,..
LTU,91.8,22.6,,,,75.4,..
MLT,80.1,4.4,,,,..,..
NLD,65.4,25.2,,,1.68,66.7,..
NOR,83.7,30.8,,,1.06,72.2,..
PRT,75.5,1.8,,,1.19,50.6,..
SWE,68.8,23.0,,,1.35,79.2,..
SVN,84.5,11.0,,,0.6,52.3,..
SVK,88.9,20.6,,,0.43,61.4,..
TUR,60.7,44.2,,,0.83,40.6,..
GBR,71.4,38.1,,,4.04,70.3,..
AUS,,,,,2.7,80.7,..
AUT,,,,,0.56,71.7,..
CAN,,,,,3.47,70.3,..
DEU,,,,,0.85,79.6,..
GRC,,,,,2.08,65.4,..
JPN,,,,,2.46,..,..
KOR,,,,,2.98,85.6,..
LUX,,,,,3.33,..,..
MEX,,,,,0.28,..,..
NZL,,,,,1.83,84.3,..
POL,,,,,1.45,50,..
ESP,,,,,3.22,64.9,..
CHE,,,,,2.22,74,..
USA,,,,,3.17,..,..
ARG,,,,,2.67,41.7,..
BHS,,,,,3.51,..,..
BRB,,,,,2.06,..,..
BLZ,,,,,1.21,68.4,..
BOL,,,,,0.5,74.5,..
BRA,,,,,2.26,..,..
CMR,,,,,0.16,48.2,..
CPV,,,,,0.96,67.6,..
CHL,,,,,1.18,60.3,..
COL,,,,,1.41,56.1,..
CRI,,,,,0.31,53.8,..
CIV,,,,,0.36,28.2,..
CUB,,,,,0.0,,
DOM,,,,,0.64,64.5,..
ECU,,,,,0.17,66.9,..
SLV,,,,,0.14,65.7,..
GTM,,,,,0.34,28.6,..
HND,,,,,0.17,58.6,..
IDN,,,,,0.66,..,..
ISR,,,,,3.17,66.7,..
JAM,,,,,1.41,54.4,..
KAZ,,,,,0.58,31.3,..
KEN,,,,,0.14,82.8,..
LVA,,,,,0.99,59.7,..
MYS,,,,,0.0,53.4,..
MUS,,,,,1.03,59,..
MAR,,,,,1.54,70,..
NIC,,,,,0.25,41.2,..
NER,,,,,0.08,7.3,..
PAN,,,,,0.58,62.5,..
PRY,,,,,0.33,54.2,..
PER,,,,,0.49,67.2,..
PHL,,,,,0.46,54.7,..
RWA,,,,,0.0,31.8,..
SEN,,,,,0.39,60.6,..
SGP,,,,,1.69,80,..
ZAF,,,,,0.93,65.3,..
SWZ,,,,,0.27,75.4,..
TGO,,,,,0.05,29.1,..
TTO,,,,,0.41,63.2,..
TUN,,,,,0.29,63.8,..
URY,,,,,2.58,55.1,..
VEN,,,,,0.1,50.5,..
AFG,,,,,,24.1,..
ALB,,,,,,33.7,..
DZA,,,,,,35.2,..
AGO,,,,,,44.6,..
ATG,,,,,,68.4,..
ARM,,,,,,31.3,..
AZE,,,,,,24.2,..
BHR,,,,,,..,..
BGD,,,,,,..,..
BLR,,,,,,43.8,..
BEN,,,,,,59.8,..
BTN,,,,,,55.6,..
BIH,,,,,,20,..
BWA,,,,,,49.9,..
BRN,,,,,,..,..
BFA,,,,,,19.8,..
BDI,,,,,,34.8,..
KHM,,,,,,44,..
CAF,,,,,,32.1,..
TCD,,,,,,41.6,..
CHN,,,,,,..,..
COM,,,,,,79,..
COD,,,,,,40.9,..
COG,,,,,,52.7,..
HRV,,,,,,11.5,..
CYP,,,,,,..,..
DJI,,,,,,63.4,..
DMA,,,,,,75.2,..
EGY,,,,,,25,..
GNQ,,,,,,71.2,..
ERI,,,,,,0,..
ETH,,,,,,51.5,..
FJI,,,,,,77.9,..
GAB,,,,,,60.5,..
GMB,,,,,,54.1,..
GEO,,,,,,50.9,..
GHA,,,,,,65.9,..
GRD,,,,,,67.2,..
GIN,,,,,,38.4,..
GNB,,,,,,46.2,..
GUY,,,,,,56.7,..
HTI,,,,,,52.2,..
HKG,,,,,,55.3,..
IND,,,,,,..,..
IRN,,,,,,17.3,..
IRQ,,,,,,70.3,..
JOR,,,,,,36,..
KIR,,,,,,38.2,..
XKX,,,,,,..,..
KWT,,,,,,43.2,..
KGZ,,,,,,12.5,..
LAO,,,,,,82.4,..
LBN,,,,,,41.5,..
LSO,,,,,,36.5,..
LBR,,,,,,..,..
LBY,,,,,,..,..
LIE,,,,,,..,..
MDG,,,,,,43.4,..
MWI,,,,,,75.4,..
MDV,,,,,,83,..
MLI,,,,,,33.5,..
MHL,,,,,,92.8,..
MRT,,,,,,54.9,..
FSM,,,,,,80.8,..
MDA,,,,,,24.5,..
MNG,,,,,,57.3,..
MNE,,,,,,..,..
MOZ,,,,,,46.3,..
MMR,,,,,,..,..
NAM,,,,,,65.3,..
NPL,,,,,,76.1,..
NGA,,,,,,..,..
MKD,,,,,,48,..
OMN,,,,,,73.2,..
PAK,,,,,,..,..
PLW,,,,,,62.4,..
PNG,,,,,,57.8,..
PRI,,,,,,57.1,..
QAT,,,,,,..,..
ROU,,,,,,65.3,..
RUS,,,,,,..,..
WSM,,,,,,78.4,..
SMR,,,,,,..,..
SAU,,,,,,67.6,..
SRB,,,,,,25,..
SYC,,,,,,72,..
SLE,,,,,,14.5,..
SLB,,,,,,47.7,..
SOM,,,,,,..,..
SSD,,,,,,..,..
LKA,,,,,,71.7,..
KNA,,,,,,82.4,..
LCA,,,,,,74.4,..
VCT,,,,,,91.7,..
SDN,,,,,,31.3,..
SUR,,,,,,70.3,..
SYR,,,,,,44.4,..
STP,,,,,,59.8,..
TWN,,,,,,65.7,..
TJK,,,,,,17.4,..
TZA,,,,,,27.1,..
THA,,,,,,65.2,..
TLS,,,,,,64.8,..
TON,,,,,,60.3,..
UGA,,,,,,39.2,..
UKR,,,,,,1.3,..
ARE,,,,,,73.7,..
UZB,,,,,,37,..
VUT,,,,,,74.3,..
VNM,,,,,,77.3,..
PSE,,,,,,37.4,..
YEM,,,,,,80.1,..
ZMB,,,,,,55.1,..
ZWE,,,,,,65.7,..
