Country Code,2011_owner_occupied_housing,2011_overburden_rate,2011_total_outstanding_residential_loans_to_GDP,2011_social_hosuing_stock,2011_real_estate_tax_to_GDP,2011_dealing_with_construction_permits_score_2006M,2011_dealing_with_construction_permits_score_2015M
AUT,52.4,12.0,27.1,,0.51,70.7,..
BEL,71.8,38.1,45.8,,3.18,73.5,..
BGR,87.2,32.8,8.7,,,64.6,..
CHE,43.8,17.7,139.3,,1.95,74.2,..
CYP,73.5,16.3,63.3,,,61.1,..
CZE,80.1,25.0,15.6,0.4,0.5,57.3,..
DEU,53.4,21.4,43.2,,0.85,82.9,..
DNK,68.7,35.4,92.3,,1.89,91.6,..
EST,83.5,28.1,35.0,,0.31,85.4,..
GRC,75.9,42.7,37.9,,2.48,65.4,..
ESP,79.7,42.7,57.6,,1.96,63.2,..
FIN,74.1,12.5,41.3,,1.08,80.1,..
FRA,63.1,19.4,41.0,,3.77,76.9,..
HRV,90.1,40.4,18.7,,,24.4,..
HUN,89.3,45.0,21.6,,1.12,69,..
IRL,70.2,19.9,58.9,,1.67,60.9,..
ISL,77.9,18.6,76.9,,2.23,77.5,..
ITA,73.2,34.6,34.6,,2.19,62.9,..
LTU,92.2,56.4,18.8,,,75.8,..
LUX,68.2,13.7,46.9,1.6,2.57,78.6,..
LVA,82.8,16.1,29.6,,0.97,64.2,..
MKD,90.5,49.9,,,,58.9,..
MLT,80.2,30.3,42.3,5.5,,..,..
NLD,67.1,18.2,104.9,,1.22,65.8,..
NOR,84.0,27.7,63.4,,1.07,70.8,..
POL,82.1,27.2,18.9,,1.28,54.9,..
PRT,75.0,25.5,64.7,2.0,1.11,63,..
ROU,96.4,65.5,5.8,,,55.3,..
SWE,65.7,18.6,74.7,,0.98,79.8,..
SVN,77.5,18.3,13.9,,0.59,53.4,..
SVK,90.2,12.9,17.3,1.6,0.4,61.5,..
TUR,59.6,40.8,28.3,,1.04,51.5,..
GBR,67.9,45.0,75.3,,3.82,85.7,..
AUS,,,56.0,,2.24,83.7,..
BRA,,,4.2,,1.43,..,..
CAN,,,63.4,,3.69,71.2,..
JPN,,,42.2,,2.65,..,..
RUS,,,2.8,,,..,..
SGP,,,34.3,,1.99,82.7,..
KOR,,,5.0,,2.63,87.3,..
USA,,,70.6,,3.02,..,..
MEX,,,,,0.28,..,..
NZL,,,,,2.0,84,..
ARG,,,,,2.64,36.9,..
BHS,,,,,3.63,67.5,..
BRB,,,,,1.57,..,..
BLZ,,,,,0.88,69.5,..
BOL,,,,,0.24,70.6,..
CMR,,,,,0.09,49.4,..
CPV,,,,,0.56,68.6,..
CHL,,,,,0.84,62.4,..
COL,,,,,2.09,63.2,..
CRI,,,,,0.33,55,..
CIV,,,,,0.23,29.6,..
CUB,,,,,0.0,,
COD,,,,,0.01,52.4,..
DOM,,,,,0.72,67.4,..
ECU,,,,,0.22,69.8,..
SLV,,,,,0.1,66.1,..
GTM,,,,,0.35,48.9,..
HND,,,,,0.18,65.4,..
IDN,,,,,0.43,..,..
ISR,,,,,3.33,68,..
JAM,,,,,0.92,66.6,..
KAZ,,,,,0.47,46.2,..
KEN,,,,,0.23,74.7,..
MUS,,,,,0.96,63,..
MAR,,,,,1.6,74.5,..
NIC,,,,,0.22,44.2,..
NER,,,,,0.07,20.2,..
PAN,,,,,0.42,68.2,..
PRY,,,,,0.21,70,..
PER,,,,,0.4,59.7,..
PHL,,,,,0.44,51.6,..
RWA,,,,,0.0,59.7,..
SEN,,,,,0.45,54.2,..
ZAF,,,,,1.4,67.2,..
SWZ,,,,,0.29,75.1,..
TGO,,,,,0.11,29.1,..
TTO,,,,,0.12,63.3,..
TUN,,,,,0.34,72,..
URY,,,,,2.29,56.5,..
VEN,,,,,0.02,50.7,..
AFG,,,,,,24.1,..
ALB,,,,,,34.2,..
DZA,,,,,,45.5,..
AGO,,,,,,68.4,..
ATG,,,,,,67.5,..
ARM,,,,,,56.7,..
AZE,,,,,,45.3,..
BHR,,,,,,71.9,..
BGD,,,,,,..,..
BLR,,,,,,63.4,..
BEN,,,,,,62.8,..
BTN,,,,,,61.8,..
BIH,,,,,,27.3,..
BWA,,,,,,53.1,..
BRN,,,,,,70.9,..
BFA,,,,,,51.9,..
BDI,,,,,,34.8,..
KHM,,,,,,45.4,..
CAF,,,,,,32.1,..
TCD,,,,,,42,..
CHN,,,,,,..,..
COM,,,,,,79.9,..
COG,,,,,,59.5,..
DJI,,,,,,59.3,..
DMA,,,,,,75.4,..
EGY,,,,,,59.1,..
GNQ,,,,,,71.1,..
ERI,,,,,,0,..
ETH,,,,,,69.7,..
FJI,,,,,,74.5,..
GAB,,,,,,60.9,..
GMB,,,,,,60.6,..
GEO,,,,,,80.6,..
GHA,,,,,,44.4,..
GRD,,,,,,70,..
GIN,,,,,,38.4,..
GNB,,,,,,46.2,..
GUY,,,,,,57.9,..
HTI,,,,,,56.8,..
HKG,,,,,,88.8,..
IND,,,,,,..,..
IRN,,,,,,59.7,..
IRQ,,,,,,70.2,..
JOR,,,,,,55.6,..
KIR,,,,,,45.3,..
XKX,,,,,,14.7,..
KWT,,,,,,50.4,..
KGZ,,,,,,66.9,..
LAO,,,,,,85,..
LBN,,,,,,44.9,..
LSO,,,,,,43.6,..
LBR,,,,,,34.1,..
LBY,,,,,,..,..
LIE,,,,,,..,..
MDG,,,,,,40.4,..
MWI,,,,,,74.7,..
MYS,,,,,,55.8,..
MDV,,,,,,83.3,..
MLI,,,,,,53,..
MHL,,,,,,94,..
