Country Code,2016_owner_occupied_housing,2016_overburden_rate,2016_total_outstanding_residential_loans_to_GDP,2016_social_hosuing_stock,2016_real_estate_tax_to_GDP,2016_dealing_with_construction_permits_score_2006M,2016_dealing_with_construction_permits_score_2015M
AUT,55.0,15.6,28.3,,0.55,..,74.9
BEL,70.9,36.0,51.2,,3.47,..,75.3
BGR,82.3,50.4,7.6,,,..,74.2
CHE,42.5,18.2,142.1,,2.03,..,71.8
CYP,72.5,18.1,61.0,,,..,63.9
CZE,78.2,29.3,19.8,,0.49,..,56.1
DEU,51.7,23.0,42.3,,1.07,..,78.1
DNK,61.7,31.6,86.1,,1.83,..,86.3
EST,81.4,28.5,30.7,,0.27,..,82.5
GRC,73.9,84.6,34.8,,3.11,..,66.7
ESP,77.8,43.0,45.9,,2.57,..,70.7
FIN,71.6,14.6,43.2,,1.41,..,75.8
FRA,64.9,16.5,40.3,,4.25,..,74.3
HRV,90.0,45.2,14.9,,,..,55.3
HUN,86.3,36.6,12.2,,1.09,..,66.3
IRL,69.5,19.3,31.7,12.7,1.41,..,74
ISL,78.7,16.9,63.6,11.1,17.37,..,71.6
ITA,72.3,32.2,33.2,,2.77,..,65.7
LTU,90.3,48.3,16.9,,,..,79.3
LUX,73.9,25.0,51.6,,3.42,..,83.8
LVA,80.9,13.0,17.6,1.9,1.07,..,73.4
MNE,90.7,60.0,,,,..,68
MKD,90.0,29.0,,,,..,79.5
MLT,81.4,22.3,40.5,,,..,71.5
NLD,69.0,28.0,98.2,,1.52,..,69.3
NOR,82.9,33.6,82.2,,1.22,..,80.7
POL,83.4,24.5,21.6,7.6,1.38,..,75.5
PRT,75.2,31.9,51.1,,1.28,..,73
ROU,96.0,36.3,7.6,,,..,57.4
SRB,82.4,70.3,,,,..,54
SWE,65.2,18.0,83.0,,1.05,..,77.7
SVN,75.1,29.0,14.2,,0.63,..,65
SVK,89.5,13.9,27.8,,0.43,..,59.3
TUR,59.7,34.4,36.2,,1.21,..,68.4
GBR,63.4,35.4,63.5,,4.08,..,80.2
AUS,,,61.4,,2.98,..,86.1
BRA,,,9.6,,1.37,..,51.9
CAN,,,72.7,,4.01,..,73.9
JPN,,,36.1,,2.57,..,83
RUS,,,6.8,,,..,70.6
SGP,,,41.6,,1.7,..,80.7
KOR,,,5.7,,2.86,..,77.9
USA,,,57.7,,3.01,..,79.8
MEX,,,,,0.31,..,65.9
NZL,,,,,1.91,..,86.4
ARG,,,,,2.72,..,48.3
BHS,,,,,1.73,..,70.5
BRB,,,,,1.49,..,56.6
BLZ,,,,,0.88,..,64.3
BOL,,,,,0.19,..,59.8
CMR,,,,,0.16,..,52.5
CPV,,,,,0.28,..,71.8
CHL,,,,,1.02,..,75.6
COL,,,,,2.09,..,68.1
CRI,,,,,0.42,..,70.7
CIV,,,,,0.38,..,35
CUB,,,,,0.0,,
COD,,,,,0.01,..,50.2
DOM,,,,,0.59,..,75
ECU,,,,,0.64,..,66.4
SLV,,,,,0.46,..,61.9
GTM,,,,,0.19,..,70.8
HND,,,,,0.55,..,60.9
IDN,,,,,0.19,..,65.3
ISR,,,,,3.2,..,74.9
JAM,,,,,1.2,..,69.9
KAZ,,,,,0.49,..,68.3
KEN,,,,,0.18,..,58.9
MYS,,,,,0.0,..,82.2
MUS,,,,,1.11,..,78.2
MAR,,,,,1.99,..,81.8
NIC,,,,,0.22,..,45.4
NER,,,,,0.03,..,39.3
PAN,,,,,0.36,..,68
PRY,,,,,0.28,..,70.4
PER,,,,,0.4,..,68.6
PHL,,,,,0.44,..,64.8
RWA,,,,,0.01,..,66.2
SEN,,,,,0.46,..,58.9
ZAF,,,,,1.55,..,68.3
SWZ,,,,,0.29,..,68.6
TGO,,,,,0.18,..,41.3
TTO,,,,,0.22,..,64.1
TUN,,,,,0.33,..,73.9
URY,,,,,2.29,..,55.8
VEN,,,,,0.03,..,59.1
AFG,,,,,,..,33.7
ALB,,,,,,..,0
DZA,,,,,,..,56.7
AGO,,,,,,..,62.4
ATG,,,,,,..,65.4
ARM,,,,,,..,67.5
AZE,,,,,,..,60
BHR,,,,,,..,74.6
BGD,,,,,,..,60
BLR,,,,,,..,71.1
BEN,,,,,,..,66.7
BTN,,,,,,..,67.3
BIH,,,,,,..,48.6
BWA,,,,,,..,70.1
BRN,,,,,,..,71.7
BFA,,,,,,..,67.5
