Country Code,2010_owner_occupied_housing,2010_overburden_rate,2010_total_outstanding_residential_loans_to_GDP,2010_social_hosuing_stock,2010_real_estate_tax_to_GDP,2010_dealing_with_construction_permits_score_2006M,2010_dealing_with_construction_permits_score_2015M
AUT,57.4,14.7,27.0,,0.53,70.7,..
BEL,71.6,28.7,44.5,,3.1,73.6,..
BGR,86.9,30.8,9.8,,,64.7,..
CHE,44.4,20.7,127.4,,2.02,74.3,..
CYP,73.1,19.1,61.4,,,61.3,..
CZE,78.7,31.1,15.4,,0.41,57.3,..
DEU,53.2,16.7,44.9,,0.82,82.9,..
DNK,66.6,30.6,92.1,,1.85,91.6,..
EST,85.5,26.6,40.2,,0.35,85.4,..
GRC,77.2,36.0,35.6,,1.66,65.4,..
ESP,79.8,43.4,57.8,,2.07,63.3,..
FIN,74.3,12.5,40.8,,1.11,80.2,..
FRA,62.0,19.0,39.9,,3.66,76.9,..
HRV,88.2,51.8,18.3,,,21.4,..
HUN,89.7,49.9,24.9,,1.14,67.7,..
IRL,73.3,18.6,61.4,,1.42,64.7,..
ISL,81.3,16.5,86.9,,2.28,77.2,..
ITA,72.6,32.6,32.8,4.2,2.01,63.2,..
LTU,93.6,55.5,21.4,,,75.8,..
LUX,68.1,15.1,46.3,,2.64,78.6,..
LVA,84.3,16.9,36.8,,0.87,62.9,..
MLT,79.5,28.3,40.4,,,..,..
NLD,67.2,16.0,104.6,,1.37,65.8,..
NOR,82.9,27.4,64.7,,1.1,71,..
POL,81.3,37.3,18.7,,1.32,54.8,..
PRT,74.9,17.6,63.8,,1.08,56.4,..
ROU,97.6,65.0,5.4,,,61,..
SWE,67.3,15.9,78.0,,1.02,80,..
SVN,78.1,14.5,13.3,,0.61,52.2,..
SVK,90.0,12.6,15.9,,0.41,61.5,..
GBR,70.0,46.1,74.6,,3.86,85.8,..
TUR,,41.5,,,1.0,51.9,..
AUS,,,58.4,,2.37,83.7,..
BRA,,,3.6,,1.36,..,..
CAN,,,62.4,,3.83,71.3,..
JPN,,,39.8,,2.58,..,..
RUS,,,3.0,,,..,..
SGP,,,33.2,,1.81,82.7,..
KOR,,,4.9,,2.53,87.3,..
USA,,,69.2,,3.16,..,..
MEX,,,,,0.29,..,..
NZL,,,,,2.0,84.3,..
ARG,,,,,2.62,43.3,..
BHS,,,,,2.68,67.6,..
BRB,,,,,1.43,..,..
BLZ,,,,,0.82,70.1,..
BOL,,,,,0.27,70.6,..
CMR,,,,,0.14,46.8,..
CPV,,,,,0.51,68.8,..
CHL,,,,,0.81,62.2,..
COL,,,,,1.57,66.9,..
CRI,,,,,0.32,54.9,..
CIV,,,,,0.29,27.9,..
CUB,,,,,0.0,,
COD,,,,,0.03,40.9,..
DOM,,,,,0.67,67.3,..
ECU,,,,,0.23,69.6,..
SLV,,,,,0.11,66.8,..
GTM,,,,,0.36,49.5,..
HND,,,,,0.33,72.5,..
IDN,,,,,0.59,..,..
ISR,,,,,3.29,67.9,..
JAM,,,,,0.86,67.5,..
KAZ,,,,,0.57,41.1,..
KEN,,,,,0.21,82.5,..
MUS,,,,,1.08,62.9,..
MAR,,,,,1.62,74.2,..
NIC,,,,,0.23,45.3,..
NER,,,,,0.08,20.2,..
PAN,,,,,0.47,68,..
PRY,,,,,0.21,59.1,..
PER,,,,,0.53,58,..
PHL,,,,,0.42,52.4,..
RWA,,,,,0.0,54.3,..
SEN,,,,,0.49,61.7,..
ZAF,,,,,1.46,67.1,..
SWZ,,,,,0.28,75,..
TGO,,,,,0.11,29.1,..
TTO,,,,,0.14,63.3,..
TUN,,,,,0.28,67,..
URY,,,,,2.35,56.4,..
VEN,,,,,0.02,50.5,..
AFG,,,,,,24.1,..
ALB,,,,,,34.1,..
DZA,,,,,,47.2,..
AGO,,,,,,63.1,..
ATG,,,,,,67.9,..
ARM,,,,,,57.6,..
AZE,,,,,,46.4,..
BHR,,,,,,72.7,..
BGD,,,,,,..,..
BLR,,,,,,62.4,..
BEN,,,,,,53.9,..
BTN,,,,,,61.4,..
BIH,,,,,,27.3,..
BWA,,,,,,53.5,..
BRN,,,,,,71.2,..
BFA,,,,,,49.2,..
BDI,,,,,,34.8,..
KHM,,,,,,45.4,..
CAF,,,,,,32.1,..
TCD,,,,,,42.6,..
CHN,,,,,,..,..
COM,,,,,,79.6,..
COG,,,,,,60.3,..
DJI,,,,,,58.7,..
DMA,,,,,,75.4,..
EGY,,,,,,57.8,..
GNQ,,,,,,71.2,..
ERI,,,,,,0,..
ETH,,,,,,64.5,..
FJI,,,,,,74.4,..
GAB,,,,,,61.2,..
GMB,,,,,,59.6,..
GEO,,,,,,80.6,..
GHA,,,,,,33.8,..
GRD,,,,,,70.1,..
GIN,,,,,,38.4,..
GNB,,,,,,46.2,..
GUY,,,,,,57.8,..
HTI,,,,,,57.7,..
HKG,,,,,,88.8,..
IND,,,,,,..,..
IRN,,,,,,60.2,..
IRQ,,,,,,70.4,..
JOR,,,,,,53.5,..
KIR,,,,,,46.7,..
XKX,,,,,,14.7,..
KWT,,,,,,53.8,..
KGZ,,,,,,66.1,..
LAO,,,,,,84.9,..
LBN,,,,,,43.3,..
LSO,,,,,,43.6,..
LBR,,,,,,34.1,..
LBY,,,,,,..,..
LIE,,,,,,..,..
MDG,,,,,,40.4,..
MWI,,,,,,74.7,..
MYS,,,,,,55.9,..
MDV,,,,,,83.3,..
MLI,,,,,,39.9,..
MHL,,,,,,92.9,..
MRT,,,,,,59.9,..
FSM,,,,,,81,..
MDA,,,,,,31.4,..
MNG,,,,,,60.2,..
MNE,,,,,,36.5,..
MOZ,,,,,,54.9,..
MMR,,,,,,..,..
NAM,,,,,,71.3,..
NPL,,,,,,78.4,..
NGA,,,,,,..,..
MKD,,,,,,58.9,..
OMN,,,,,,74.8,..
PAK,,,,,,..,..
PLW,,,,,,65.3,..
PNG,,,,,,60.4,..
PRI,,,,,,57.8,..
QAT,,,,,,80.5,..
WSM,,,,,,78.7,..
SMR,,,,,,..,..
SAU,,,,,,72.5,..
SRB,,,,,,19.3,..
SYC,,,,,,73.2,..
SLE,,,,,,32.6,..
SLB,,,,,,47.7,..
SOM,,,,,,..,..
SSD,,,,,,..,..
LKA,,,,,,70.5,..
KNA,,,,,,82.6,..
LCA,,,,,,78,..
VCT,,,,,,89.1,..
SDN,,,,,,44.2,..
SUR,,,,,,71,..
SYR,,,,,,56.5,..
STP,,,,,,63.5,..
TWN,,,,,,65.9,..
TJK,,,,,,38.7,..
TZA,,,,,,40,..
THA,,,,,,65.1,..
TLS,,,,,,67.1,..
TON,,,,,,70.2,..
UGA,,,,,,39.2,..
UKR,,,,,,1.3,..
ARE,,,,,,82.4,..
UZB,,,,,,45.5,..
VUT,,,,,,81.4,..
VNM,,,,,,78.1,..
PSE,,,,,,37.4,..
YEM,,,,,,82,..
ZMB,,,,,,62.4,..
ZWE,,,,,,31.6,..
