Country Code,2014_owner_occupied_housing,2014_overburden_rate,2014_total_outstanding_residential_loans_to_GDP,2014_social_hosuing_stock,2014_real_estate_tax_to_GDP,2014_dealing_with_construction_permits_score_2006M,2014_dealing_with_construction_permits_score_2015M
AUT,57.2,15.6,27.2,,0.6,70.9,..
BEL,72.0,38.1,48.9,,3.54,73.7,..
BGR,84.3,40.8,8.2,,,67.2,..
CHE,44.5,17.3,138.9,,1.91,75.6,..
CYP,72.9,19.3,67.0,,,60.8,..
CZE,78.9,29.9,18.3,,0.45,57,..
DEU,52.5,23.1,42.3,,0.96,82.9,..
DNK,63.3,32.9,88.2,,1.82,89.5,..
EST,81.5,32.3,30.1,,0.29,85.5,..
GRC,74.0,87.5,38.9,,2.87,64.5,..
ESP,78.8,47.5,53.5,,2.52,67.8,..
FIN,73.2,16.8,43.4,,1.31,80.3,..
FRA,65.0,15.8,38.8,,4.03,69,..
HRV,89.7,41.3,18.1,,,25.9,..
HUN,88.2,41.4,16.2,,1.28,66,..
IRL,68.4,19.1,46.5,,2.18,65.7,..
ISL,78.2,18.6,68.4,,2.39,77.6,..
ITA,73.1,32.4,34.8,,2.88,62.9,..
LTU,89.9,37.3,16.4,,,79.4,..
LUX,72.5,26.3,50.3,,2.92,78.4,..
LVA,80.9,15.1,19.9,,1.04,72.4,..
MNE,89.6,56.4,,,,49.1,..
MKD,88.8,64.0,,,,76.2,..
MLT,79.8,22.6,42.1,,,67.4,..
NLD,67.0,24.8,101.3,,1.43,70.1,..
NOR,84.4,34.2,64.1,,1.15,83.1,..
POL,83.5,25.5,20.1,,1.39,71.1,..
PRT,74.9,33.8,59.2,,1.23,72.8,..
ROU,96.2,42.0,6.7,,,54,..
SRB,81.9,67.5,,,,20.8,..
SWE,65.6,17.7,77.3,,1.05,83.2,..
SVN,76.7,27.4,14.2,,0.62,57.7,..
SVK,90.3,14.9,22.8,,0.43,61.3,..
TUR,61.1,39.4,37.0,,1.19,65,..
GBR,64.4,34.6,69.8,,4.01,86.8,..
AUS,,,48.8,,2.79,83.7,..
BRA,,,7.2,,1.26,50.2,..
CAN,,,66.0,,3.67,67.4,..
JPN,,,36.2,,2.57,81.9,..
RUS,,,3.7,,,53.2,..
SGP,,,37.8,,1.76,82.9,..
KOR,,,6.3,,2.58,85.9,..
USA,,,62.1,,2.97,78.6,..
MEX,,,,,0.31,64.2,..
NZL,,,,,1.96,81.6,..
ARG,,,,,2.82,37.7,..
BHS,,,,,2.47,67.6,..
BRB,,,,,2.21,61.1,..
BLZ,,,,,1.04,69.7,..
BOL,,,,,0.19,65.9,..
CMR,,,,,0.12,52.3,..
CPV,,,,,0.43,73.6,..
CHL,,,,,0.83,71.7,..
COL,,,,,2.1,65.4,..
CRI,,,,,0.41,69.6,..
CIV,,,,,0.33,31.4,..
CUB,,,,,0.0,,
COD,,,,,0.01,59.3,..
DOM,,,,,0.62,69,..
ECU,,,,,0.26,70.4,..
SLV,,,,,0.23,66.6,..
GTM,,,,,0.23,69.6,..
HND,,,,,0.55,65.5,..
IDN,,,,,0.27,55.9,..
ISR,,,,,3.11,68.3,..
JAM,,,,,1.17,68,..
KAZ,,,,,0.48,48.8,..
KEN,,,,,0.22,72.2,..
MYS,,,,,0.0,77.8,..
MUS,,,,,1.1,61.8,..
MAR,,,,,1.94,80.2,..
NIC,,,,,0.23,51.6,..
NER,,,,,0.03,35.2,..
PAN,,,,,0.44,70.5,..
PRY,,,,,0.21,75.4,..
PER,,,,,0.38,64.7,..
PHL,,,,,0.45,60.1,..
RWA,,,,,0.0,54.5,..
SEN,,,,,0.41,50.9,..
ZAF,,,,,1.53,67.3,..
SWZ,,,,,0.28,75.5,..
TGO,,,,,0.17,42.7,..
TTO,,,,,0.16,63.3,..
TUN,,,,,0.32,71.1,..
URY,,,,,2.2,57,..
VEN,,,,,0.03,54.1,..
AFG,,,,,,24.5,..
ALB,,,,,,0,..
DZA,,,,,,48.4,..
AGO,,,,,,69.6,..
ATG,,,,,,67.1,..
ARM,,,,,,66.5,..
AZE,,,,,,44.9,..
BHR,,,,,,71.8,..
BGD,,,,,,56.2,..
BLR,,,,,,65.5,..
BEN,,,,,,69.2,..
BTN,,,,,,62.7,..
BIH,,,,,,34.4,..
BWA,,,,,,69.9,..
BRN,,,,,,71.2,..
BFA,,,,,,62.1,..
BDI,,,,,,52.4,..
KHM,,,,,,34.9,..
CAF,,,,,,32.1,..
TCD,,,,,,43.9,..
CHN,,,,,,29.9,..
COM,,,,,,80.2,..
COG,,,,,,63.4,..
DJI,,,,,,55.9,..
DMA,,,,,,75.6,..
EGY,,,,,,62.6,..
GNQ,,,,,,71.2,..
ERI,,,,,,0,..
ETH,,,,,,45.5,..
FJI,,,,,,74.5,..
GAB,,,,,,69,..
GMB,,,,,,65.5,..
GEO,,,,,,87.6,..
GHA,,,,,,53.3,..
GRD,,,,,,71.1,..
GIN,,,,,,46,..
GNB,,,,,,44.8,..
GUY,,,,,,59.7,..
HTI,,,,,,47.8,..
HKG,,,,,,87.8,..
IND,,,,,,22.4,..
IRN,,,,,,64.1,..
IRQ,,,,,,70.8,..
JOR,,,,,,61,..
KIR,,,,,,45.4,..
XKX,,,,,,41,..
KWT,,,,,,53.9,..
KGZ,,,,,,67.8,..
LAO,,,,,,70,..
LBN,,,,,,42.2,..
LSO,,,,,,49.3,..
LBR,,,,,,34.1,..
LBY,,,,,,0,..
LIE,,,,,,..,..
MDG,,,,,,38.9,..
MWI,,,,,,44.4,..
MDV,,,,,,83.4,..
MLI,,,,,,53.9,..
MHL,,,,,,92.2,..
MRT,,,,,,71.5,..
FSM,,,,,,81.4,..
MDA,,,,,,36,..
MNG,,,,,,73.2,..
MOZ,,,,,,68.9,..
MMR,,,,,,67.9,..
NAM,,,,,,73.9,..
NPL,,,,,,64.8,..
NGA,,,,,,50.7,..
OMN,,,,,,76.3,..
PAK,,,,,,49.1,..
PLW,,,,,,65.9,..
PNG,,,,,,62.1,..
PRI,,,,,,48.6,..
QAT,,,,,,80.5,..
WSM,,,,,,78.7,..
SMR,,,,,,59.3,..
SAU,,,,,,75.8,..
SYC,,,,,,73.8,..
SLE,,,,,,35.8,..
SLB,,,,,,47.7,..
SOM,,,,,,..,..
SSD,,,,,,46.3,..
LKA,,,,,,74.8,..
KNA,,,,,,82.6,..
LCA,,,,,,78.1,..
VCT,,,,,,81.4,..
SDN,,,,,,53.8,..
SUR,,,,,,74.1,..
SYR,,,,,,0,..
STP,,,,,,75.7,..
TWN,,,,,,86.1,..
TJK,,,,,,48.5,..
TZA,,,,,,40.5,..
THA,,,,,,66.9,..
TLS,,,,,,67.5,..
TON,,,,,,75.4,..
UGA,,,,,,46.6,..
UKR,,,,,,60.6,..
ARE,,,,,,86.4,..
UZB,,,,,,47.9,..
VUT,,,,,,62.5,..
VNM,,,,,,78.6,..
PSE,,,,,,37.4,..
YEM,,,,,,75.4,..
ZMB,,,,,,71.3,..
ZWE,,,,,,26.7,..
