Country Code,2002_owner_occupied_housing,2002_overburden_rate,2002_total_outstanding_residential_loans_to_GDP,2002_social_hosuing_stock,2002_real_estate_tax_to_GDP,2002_dealing_with_construction_permits_score_2006M,2002_dealing_with_construction_permits_score_2015M
AUS,,,,,2.67,,
AUT,,,,,0.53,,
BEL,,,,,1.97,,
CAN,,,,,3.58,,
CZE,,,,,0.48,,
DNK,,,,,1.68,,
FIN,,,,,1.04,,
FRA,,,,,3.09,,
DEU,,,,,0.79,,
GRC,,,,,1.97,,
HUN,,,,,0.69,,
ISL,,,,,2.48,,
IRL,,,,,1.5,,
ITA,,,,,2.04,,
JPN,,,,,2.69,,
KOR,,,,,2.71,,
LUX,,,,,3.0,,
MEX,,,,,0.26,,
NLD,,,,,1.85,,
NZL,,,,,1.7,,
NOR,,,,,1.01,,
POL,,,,,1.63,,
PRT,,,,,1.14,,
SVK,,,,,0.58,,
ESP,,,,,2.23,,
SWE,,,,,1.44,,
CHE,,,,,2.49,,
TUR,,,,,0.68,,
GBR,,,,,3.75,,
USA,,,,,3.06,,
ARG,,,,,2.26,,
BHS,,,,,2.32,,
BRB,,,,,1.72,,
BLZ,,,,,0.99,,
BOL,,,,,0.01,,
BRA,,,,,2.31,,
CMR,,,,,0.17,,
CPV,,,,,0.92,,
CHL,,,,,1.46,,
COL,,,,,1.69,,
CRI,,,,,0.21,,
CIV,,,,,0.35,,
CUB,,,,,0.0,,
DOM,,,,,0.2,,
ECU,,,,,0.19,,
SLV,,,,,0.1,,
EST,,,,,0.34,,
GTM,,,,,0.26,,
HND,,,,,0.16,,
IDN,,,,,0.39,,
ISR,,,,,2.87,,
JAM,,,,,1.16,,
KAZ,,,,,0.83,,
KEN,,,,,0.0,,
LVA,,,,,0.99,,
MYS,,,,,0.0,,
MUS,,,,,1.04,,
MAR,,,,,1.4,,
NIC,,,,,0.02,,
NER,,,,,0.05,,
PAN,,,,,0.36,,
PRY,,,,,0.18,,
PER,,,,,0.46,,
PHL,,,,,0.49,,
RWA,,,,,0.03,,
SEN,,,,,0.33,,
SGP,,,,,1.2,,
SVN,,,,,0.64,,
ZAF,,,,,0.42,,
SWZ,,,,,0.23,,
TGO,,,,,0.04,,
TTO,,,,,0.38,,
TUN,,,,,0.25,,
URY,,,,,2.3,,
VEN,,,,,1.44,,
