Country Code,1996_owner_occupied_housing,1996_overburden_rate,1996_total_outstanding_residential_loans_to_GDP,1996_social_hosuing_stock,1996_real_estate_tax_to_GDP,1996_dealing_with_construction_permits_score_2006M,1996_dealing_with_construction_permits_score_2015M
AUS,,,,,2.6,,
AUT,,,,,0.61,,
BEL,,,,,1.78,,
CAN,,,,,3.68,,
CZE,,,,,0.49,,
DNK,,,,,1.6,,
FIN,,,,,1.03,,
FRA,,,,,3.08,,
DEU,,,,,1.08,,
GRC,,,,,1.8,,
HUN,,,,,0.6,,
ISL,,,,,2.64,,
IRL,,,,,1.5,,
ITA,,,,,2.15,,
JPN,,,,,3.04,,
KOR,,,,,2.48,,
LUX,,,,,2.68,,
MEX,,,,,0.22,,
NLD,,,,,1.69,,
NZL,,,,,1.88,,
NOR,,,,,1.12,,
POL,,,,,1.31,,
PRT,,,,,0.87,,
SVK,,,,,0.65,,
ESP,,,,,1.76,,
SWE,,,,,1.7,,
CHE,,,,,2.17,,
TUR,,,,,0.33,,
GBR,,,,,3.0,,
USA,,,,,3.01,,
ARG,,,,,1.06,,
BHS,,,,,2.5,,
BRB,,,,,3.01,,
BLZ,,,,,0.83,,
BOL,,,,,0.0,,
BRA,,,,,0.86,,
CMR,,,,,0.09,,
CPV,,,,,0.82,,
CHL,,,,,1.26,,
COL,,,,,0.49,,
CRI,,,,,0.29,,
CIV,,,,,0.27,,
CUB,,,,,0.0,,
DOM,,,,,0.1,,
ECU,,,,,0.17,,
SLV,,,,,0.11,,
EST,,,,,0.37,,
GTM,,,,,0.31,,
HND,,,,,0.22,,
ISR,,,,,3.37,,
JAM,,,,,1.2,,
LVA,,,,,1.07,,
MYS,,,,,0.0,,
MUS,,,,,1.33,,
NIC,,,,,0.72,,
PAN,,,,,0.36,,
PRY,,,,,0.34,,
PER,,,,,0.0,,
PHL,,,,,0.14,,
RWA,,,,,0.01,,
SVN,,,,,0.53,,
ZAF,,,,,0.37,,
SWZ,,,,,0.16,,
TTO,,,,,0.37,,
URY,,,,,2.07,,
VEN,,,,,0.02,,
