Country Code,1991_owner_occupied_housing,1991_overburden_rate,1991_total_outstanding_residential_loans_to_GDP,1991_social_hosuing_stock,1991_real_estate_tax_to_GDP,1991_dealing_with_construction_permits_score_2006M,1991_dealing_with_construction_permits_score_2015M
AUS,,,,,2.61,,
AUT,,,,,1.09,,
BEL,,,,,1.54,,
CAN,,,,,3.71,,
DNK,,,,,1.68,,
FIN,,,,,1.0,,
FRA,,,,,2.62,,
DEU,,,,,1.0,,
GRC,,,,,0.99,,
HUN,,,,,0.52,,
ISL,,,,,2.71,,
IRL,,,,,1.5,,
ITA,,,,,0.91,,
JPN,,,,,2.7,,
KOR,,,,,2.28,,
LUX,,,,,2.43,,
MEX,,,,,0.28,,
NLD,,,,,1.49,,
NZL,,,,,2.2,,
NOR,,,,,1.16,,
POL,,,,,1.34,,
PRT,,,,,0.74,,
ESP,,,,,1.58,,
SWE,,,,,1.89,,
CHE,,,,,1.92,,
TUR,,,,,0.34,,
GBR,,,,,2.37,,
USA,,,,,3.19,,
ARG,,,,,1.85,,
BHS,,,,,1.31,,
BRB,,,,,3.35,,
BLZ,,,,,3.89,,
BOL,,,,,0.02,,
BRA,,,,,1.17,,
CPV,,,,,0.84,,
CHL,,,,,1.06,,
COL,,,,,0.27,,
CRI,,,,,0.2,,
CIV,,,,,0.4,,
CUB,,,,,0.0,,
DOM,,,,,0.07,,
ECU,,,,,0.07,,
SLV,,,,,0.63,,
GTM,,,,,0.49,,
HND,,,,,0.09,,
JAM,,,,,1.74,,
MYS,,,,,0.01,,
MUS,,,,,1.56,,
NIC,,,,,0.72,,
PAN,,,,,0.48,,
PRY,,,,,0.24,,
PER,,,,,1.25,,
ZAF,,,,,0.33,,
TTO,,,,,0.32,,
URY,,,,,1.65,,
VEN,,,,,0.04,,
