Country Code,2008_owner_occupied_housing,2008_overburden_rate,2008_total_outstanding_residential_loans_to_GDP,2008_social_hosuing_stock,2008_real_estate_tax_to_GDP,2008_dealing_with_construction_permits_score_2006M,2008_dealing_with_construction_permits_score_2015M
AUT,57.9,12.5,24.5,,0.52,72,..
BEL,73.1,30.5,39.0,,3.06,73.5,..
BGR,87.1,36.6,10.2,,,60.2,..
CYP,72.3,12.5,44.7,,,..,..
CZE,75.8,25.4,9.2,,0.38,54.3,..
DNK,66.5,25.8,85.8,,1.9,91.6,..
EST,88.9,25.1,37.3,,0.29,86.3,..
GRC,76.7,68.4,32.1,,2.16,65.4,..
ESP,80.2,43.4,55.1,,2.31,63.7,..
FIN,73.2,13.1,34.8,,1.05,79.7,..
FRA,62.1,16.5,35.1,,3.36,76,..
HUN,89.0,48.7,20.6,,0.85,67,..
IRL,77.3,17.1,79.2,,1.77,64.6,..
ISL,85.8,17.3,61.6,,2.11,75.8,..
ITA,72.8,30.3,23.8,,1.79,63.1,..
LTU,92.2,7.8,18.5,,,75.6,..
LUX,73.8,14.3,41.8,,2.71,78.6,..
LVA,86.0,12.9,29.5,,0.63,60.7,..
MLT,79.9,32.1,36.2,,,..,..
NLD,67.5,20.5,96.5,,1.53,69.5,..
NOR,86.1,30.7,49.6,,1.05,72.3,..
POL,66.0,26.6,12.7,,1.43,54.3,..
PRT,74.5,18.6,58.7,,1.19,51,..
ROU,96.3,74.0,3.6,,,60.2,..
SWE,66.2,19.7,58.1,,1.01,79.8,..
SVN,81.3,15.2,9.0,,0.56,50,..
SVK,89.3,11.5,12.9,,0.37,60.5,..
TUR,60.9,41.5,,,0.83,40,..
GBR,72.5,39.4,62.4,,3.78,70.5,..
HRV,,,15.6,,,11.4,..
DEU,,,45.0,,0.84,82.8,..
CHE,,,117.8,,2.02,74.2,..
AUS,,,34.9,,2.22,80.8,..
BRA,,,1.6,,1.32,..,..
CAN,,,49.3,,3.6,71.2,..
JPN,,,43.3,,2.57,..,..
