Country Code,2003_owner_occupied_housing,2003_overburden_rate,2003_total_outstanding_residential_loans_to_GDP,2003_social_hosuing_stock,2003_real_estate_tax_to_GDP,2003_dealing_with_construction_permits_score_2006M,2003_dealing_with_construction_permits_score_2015M
BEL,72.7,,,,2.04,,
DNK,66.0,,,,1.77,,
GRC,75.3,,,,1.91,,
IRL,79.8,26.0,,,1.86,,
NOR,83.2,,,,1.03,,
AUS,,,,,2.83,,
AUT,,,,,0.54,,
CAN,,,,,3.54,,
CZE,,,,,0.48,,
FIN,,,,,0.99,,
FRA,,,,,3.16,,
DEU,,,,,0.82,,
HUN,,,,,0.8,,
ISL,,,,,2.24,,
ITA,,,,,3.11,,
JPN,,,,,2.53,,
KOR,,,,,2.59,,
LUX,,,,,2.8,,
MEX,,,,,0.26,,
NLD,,,,,1.77,,
NZL,,,,,1.7,,
POL,,,,,1.52,,
PRT,,,,,1.11,,
SVK,,,,,0.57,,
ESP,,,,,2.46,,
SWE,,,,,1.43,,
CHE,,,,,2.36,,
TUR,,,,,0.81,,
GBR,,,,,3.7,,
USA,,,,,3.09,,
ARG,,,,,2.59,,
BHS,,,,,2.39,,
BRB,,,,,1.86,,
BLZ,,,,,1.1,,
BOL,,,,,0.01,,
BRA,,,,,2.28,,
CMR,,,,,0.15,,
CPV,,,,,0.78,,
CHL,,,,,1.44,,
COL,,,,,1.63,,
CRI,,,,,0.21,,
CIV,,,,,0.32,,
CUB,,,,,0.0,,
DOM,,,,,0.21,,
ECU,,,,,0.25,,
SLV,,,,,0.1,,
EST,,,,,0.33,,
GTM,,,,,0.26,,
HND,,,,,0.16,,
IDN,,,,,0.49,,
ISR,,,,,2.83,,
JAM,,,,,1.27,,
KAZ,,,,,0.74,,
KEN,,,,,0.0,,
LVA,,,,,1.03,,
MYS,,,,,0.0,,
MUS,,,,,1.0,,
MAR,,,,,1.39,,
NIC,,,,,0.02,,
NER,,,,,0.06,,
PAN,,,,,0.45,,
PRY,,,,,0.14,,
PER,,,,,0.23,,
PHL,,,,,0.5,,
RWA,,,,,0.0,,
SEN,,,,,0.39,,
SGP,,,,,1.29,,
SVN,,,,,0.56,,
ZAF,,,,,0.66,,
SWZ,,,,,0.25,,
TGO,,,,,0.05,,
TTO,,,,,0.34,,
TUN,,,,,0.24,,
URY,,,,,2.72,,
VEN,,,,,1.53,,
