Country Code,2012_owner_occupied_housing,2012_overburden_rate,2012_total_outstanding_residential_loans_to_GDP,2012_social_hosuing_stock,2012_real_estate_tax_to_GDP,2012_dealing_with_construction_permits_score_2006M,2012_dealing_with_construction_permits_score_2015M
AUT,57.5,17.3,27.1,,0.55,70.7,..
BEL,72.4,37.2,47.5,,3.27,73.6,..
BGR,87.4,48.2,8.5,,,64.8,..
CHE,43.8,16.6,132.5,,1.83,74.2,..
CYP,73.2,19.9,65.2,,,60.9,..
CZE,80.4,28.2,17.3,,0.5,57.3,..
DEU,53.3,23.7,43.2,,0.9,82.8,..
DNK,66.0,34.7,90.6,,1.78,91.6,..
EST,82.2,27.9,32.4,,0.32,85.4,..
GRC,75.9,53.0,39.0,,2.71,62.9,..
ESP,78.9,44.7,57.6,,2.12,63.2,..
FIN,73.9,11.8,43.0,,1.17,80.2,..
FRA,63.7,16.2,41.7,,3.9,76.8,..
HRV,89.6,40.5,18.9,,,24.4,..
HUN,89.8,38.5,20.0,,1.22,69,..
IRL,69.6,21.3,55.7,,1.76,60,..
ISL,77.3,18.1,71.0,,2.41,77.5,..
ITA,74.2,34.2,35.5,,2.69,62.9,..
LTU,91.9,55.7,17.4,,,77.9,..
LUX,70.8,17.1,49.2,,2.7,78.4,..
LVA,81.5,18.1,24.1,,0.96,64,..
MKD,89.7,58.8,,,,74.1,..
MLT,81.8,21.1,43.1,,,64,..
NLD,67.5,19.7,105.4,,1.08,65.8,..
NOR,84.8,29.8,65.8,,1.11,71,..
POL,82.4,27.1,20.4,,1.33,66,..
PRT,74.5,35.8,65.7,,1.05,68.9,..
ROU,96.3,72.7,6.6,,,53.8,..
SWE,66.1,17.3,77.9,,1.0,80.1,..
SVN,76.2,26.6,14.5,,0.62,53.5,..
SVK,90.4,15.1,18.6,,0.43,61.5,..
TUR,60.7,37.4,33.5,,1.04,52.7,..
GBR,66.7,23.8,71.1,,3.81,86.9,..
AUS,,,49.0,,2.35,83.7,..
BRA,,,4.9,,1.34,..,..
CAN,,,61.0,,3.7,67.4,..
JPN,,,34.3,,2.57,..,..
RUS,,,3.4,,,..,..
SGP,,,34.8,,2.17,82.8,..
KOR,,,5.3,,2.51,85.9,..
USA,,,60.0,,2.97,..,..
MEX,,,,,0.29,..,..
NZL,,,,,2.0,84,..
ARG,,,,,2.74,38.3,..
BHS,,,,,2.76,67.6,..
BRB,,,,,1.56,61.1,..
BLZ,,,,,0.89,69.2,..
BOL,,,,,0.21,70.9,..
CMR,,,,,0.1,50.4,..
CPV,,,,,0.44,69.4,..
CHL,,,,,0.91,70.9,..
COL,,,,,2.05,63.7,..
CRI,,,,,0.35,55.1,..
CIV,,,,,0.32,29.6,..
CUB,,,,,0.0,,
COD,,,,,0.01,53.6,..
DOM,,,,,0.82,68.5,..
ECU,,,,,0.24,70.3,..
SLV,,,,,0.12,66.1,..
GTM,,,,,0.41,50.4,..
HND,,,,,0.34,65.6,..
IDN,,,,,0.38,..,..
ISR,,,,,3.02,68.1,..
JAM,,,,,0.87,66.7,..
KAZ,,,,,0.47,46.9,..
KEN,,,,,0.23,74.8,..
MYS,,,,,0.0,63.1,..
MUS,,,,,1.06,63,..
MAR,,,,,1.82,79.7,..
NIC,,,,,0.21,45.6,..
NER,,,,,0.07,20.2,..
PAN,,,,,0.4,68.3,..
PRY,,,,,0.2,75,..
PER,,,,,0.37,60.1,..
PHL,,,,,0.46,52.8,..
RWA,,,,,0.0,61.4,..
SEN,,,,,0.41,50.2,..
ZAF,,,,,1.42,67,..
SWZ,,,,,0.26,75.4,..
TGO,,,,,0.12,29.1,..
TTO,,,,,0.13,63.2,..
TUN,,,,,0.32,68,..
URY,,,,,2.23,56.7,..
VEN,,,,,0.02,52.6,..
AFG,,,,,,24.1,..
ALB,,,,,,0,..
DZA,,,,,,47.3,..
AGO,,,,,,68.7,..
ATG,,,,,,67.1,..
ARM,,,,,,66.6,..
AZE,,,,,,46.7,..
BHR,,,,,,70.9,..
BGD,,,,,,..,..
BLR,,,,,,63.5,..
BEN,,,,,,62.9,..
BTN,,,,,,61.8,..
BIH,,,,,,34.4,..
BWA,,,,,,54,..
BRN,,,,,,71,..
BFA,,,,,,59.3,..
BDI,,,,,,34.8,..
KHM,,,,,,45.5,..
CAF,,,,,,32.1,..
TCD,,,,,,44,..
CHN,,,,,,..,..
COM,,,,,,79.9,..
COG,,,,,,56.8,..
DJI,,,,,,54.5,..
DMA,,,,,,75.5,..
EGY,,,,,,61.2,..
GNQ,,,,,,71.2,..
ERI,,,,,,0,..
ETH,,,,,,74.2,..
FJI,,,,,,74.4,..
GAB,,,,,,61.2,..
GMB,,,,,,61.8,..
GEO,,,,,,82.1,..
GHA,,,,,,47.1,..
GRD,,,,,,70,..
GIN,,,,,,38.4,..
GNB,,,,,,46.2,..
GUY,,,,,,59.4,..
HTI,,,,,,57,..
HKG,,,,,,88.8,..
IND,,,,,,..,..
IRN,,,,,,60.2,..
IRQ,,,,,,70.3,..
JOR,,,,,,58.5,..
KIR,,,,,,46,..
XKX,,,,,,14.7,..
KWT,,,,,,52,..
KGZ,,,,,,66.2,..
LAO,,,,,,85.3,..
LBN,,,,,,45.6,..
LSO,,,,,,43.6,..
LBR,,,,,,34.1,..
LBY,,,,,,..,..
LIE,,,,,,..,..
MDG,,,,,,40.4,..
MWI,,,,,,74.9,..
MDV,,,,,,83.3,..
MLI,,,,,,50.1,..
MHL,,,,,,93.8,..
MRT,,,,,,71.3,..
FSM,,,,,,81.2,..
MDA,,,,,,35,..
MNG,,,,,,63.1,..
MNE,,,,,,36.5,..
MOZ,,,,,,58.2,..
MMR,,,,,,..,..
NAM,,,,,,73.2,..
NPL,,,,,,57.2,..
NGA,,,,,,..,..
OMN,,,,,,76,..
PAK,,,,,,..,..
PLW,,,,,,62.4,..
PNG,,,,,,61.4,..
PRI,,,,,,52.3,..
QAT,,,,,,80.5,..
WSM,,,,,,78.7,..
SMR,,,,,,..,..
SAU,,,,,,75,..
SRB,,,,,,19.3,..
SYC,,,,,,73.6,..
SLE,,,,,,35.7,..
SLB,,,,,,47.7,..
SOM,,,,,,..,..
SSD,,,,,,..,..
LKA,,,,,,71,..
KNA,,,,,,82.4,..
LCA,,,,,,77.8,..
VCT,,,,,,90.4,..
SDN,,,,,,48.1,..
SUR,,,,,,71.1,..
SYR,,,,,,57.5,..
STP,,,,,,78.5,..
TWN,,,,,,67.3,..
TJK,,,,,,46.4,..
TZA,,,,,,42.6,..
THA,,,,,,65.7,..
TLS,,,,,,67.2,..
TON,,,,,,73.2,..
UGA,,,,,,45,..
UKR,,,,,,12,..
ARE,,,,,,83.6,..
UZB,,,,,,47.3,..
VUT,,,,,,67.9,..
VNM,,,,,,78.3,..
PSE,,,,,,37.4,..
YEM,,,,,,82.2,..
ZMB,,,,,,65.1,..
ZWE,,,,,,41,..
