Country Code,1995_owner_occupied_housing,1995_overburden_rate,1995_total_outstanding_residential_loans_to_GDP,1995_social_hosuing_stock,1995_real_estate_tax_to_GDP,1995_dealing_with_construction_permits_score_2006M,1995_dealing_with_construction_permits_score_2015M
AUS,,,,,2.49,,
AUT,,,,,0.61,,
BEL,,,,,1.64,,
CAN,,,,,3.69,,
CZE,,,,,0.48,,
DNK,,,,,1.66,,
FIN,,,,,0.99,,
FRA,,,,,2.98,,
DEU,,,,,1.01,,
GRC,,,,,1.69,,
HUN,,,,,0.5,,
ISL,,,,,2.79,,
IRL,,,,,1.42,,
ITA,,,,,2.17,,
JPN,,,,,3.14,,
KOR,,,,,2.6,,
LUX,,,,,2.49,,
MEX,,,,,0.24,,
NLD,,,,,1.57,,
NZL,,,,,1.91,,
NOR,,,,,1.13,,
POL,,,,,1.27,,
PRT,,,,,0.93,,
SVK,,,,,0.56,,
ESP,,,,,1.78,,
SWE,,,,,1.22,,
CHE,,,,,2.06,,
TUR,,,,,0.5,,
GBR,,,,,2.94,,
USA,,,,,3.0,,
ARG,,,,,0.97,,
BHS,,,,,2.41,,
BRB,,,,,3.54,,
BLZ,,,,,3.53,,
BOL,,,,,0.0,,
BRA,,,,,1.0,,
CMR,,,,,0.16,,
CPV,,,,,0.81,,
CHL,,,,,1.15,,
COL,,,,,0.42,,
CRI,,,,,0.2,,
CIV,,,,,0.21,,
CUB,,,,,0.0,,
DOM,,,,,0.09,,
ECU,,,,,0.17,,
SLV,,,,,0.15,,
EST,,,,,0.35,,
GTM,,,,,0.34,,
HND,,,,,0.18,,
ISR,,,,,3.48,,
JAM,,,,,1.2,,
LVA,,,,,1.01,,
MYS,,,,,0.0,,
MUS,,,,,1.3,,
NIC,,,,,0.71,,
PAN,,,,,0.41,,
PRY,,,,,0.39,,
PER,,,,,0.03,,
PHL,,,,,0.1,,
SVN,,,,,0.54,,
ZAF,,,,,0.38,,
SWZ,,,,,0.21,,
TTO,,,,,0.38,,
URY,,,,,2.01,,
VEN,,,,,0.04,,
