Country Code,1998_owner_occupied_housing,1998_overburden_rate,1998_total_outstanding_residential_loans_to_GDP,1998_social_hosuing_stock,1998_real_estate_tax_to_GDP,1998_dealing_with_construction_permits_score_2006M,1998_dealing_with_construction_permits_score_2015M
AUS,,,,,2.65,,
AUT,,,,,0.57,,
BEL,,,,,2.07,,
CAN,,,,,3.71,,
CZE,,,,,0.51,,
DNK,,,,,1.76,,
FIN,,,,,1.07,,
FRA,,,,,3.24,,
DEU,,,,,0.84,,
GRC,,,,,1.97,,
HUN,,,,,0.59,,
ISL,,,,,2.59,,
IRL,,,,,1.57,,
ITA,,,,,1.92,,
JPN,,,,,2.83,,
KOR,,,,,2.06,,
LUX,,,,,3.26,,
MEX,,,,,0.2,,
NLD,,,,,1.81,,
NZL,,,,,1.81,,
NOR,,,,,0.99,,
POL,,,,,1.37,,
PRT,,,,,1.0,,
SVK,,,,,0.63,,
ESP,,,,,1.96,,
SWE,,,,,1.71,,
CHE,,,,,2.53,,
TUR,,,,,0.71,,
GBR,,,,,3.27,,
USA,,,,,3.0,,
ARG,,,,,1.13,,
BHS,,,,,2.72,,
BRB,,,,,1.61,,
BLZ,,,,,0.72,,
BOL,,,,,0.01,,
BRA,,,,,1.72,,
CMR,,,,,0.09,,
CPV,,,,,0.61,,
CHL,,,,,1.32,,
COL,,,,,0.56,,
CRI,,,,,0.2,,
CIV,,,,,0.25,,
CUB,,,,,0.0,,
DOM,,,,,0.13,,
ECU,,,,,0.14,,
SLV,,,,,0.13,,
EST,,,,,0.37,,
GTM,,,,,0.27,,
HND,,,,,0.31,,
IDN,,,,,0.23,,
ISR,,,,,3.23,,
JAM,,,,,1.1,,
KAZ,,,,,1.15,,
LVA,,,,,1.28,,
MYS,,,,,0.0,,
MUS,,,,,1.33,,
NIC,,,,,0.03,,
PAN,,,,,0.39,,
PRY,,,,,0.31,,
PER,,,,,0.0,,
PHL,,,,,0.08,,
RWA,,,,,0.02,,
SEN,,,,,0.23,,
SVN,,,,,0.81,,
ZAF,,,,,0.35,,
SWZ,,,,,0.22,,
TTO,,,,,0.32,,
URY,,,,,2.04,,
VEN,,,,,0.18,,
