Country Code,1997_owner_occupied_housing,1997_overburden_rate,1997_total_outstanding_residential_loans_to_GDP,1997_social_hosuing_stock,1997_real_estate_tax_to_GDP,1997_dealing_with_construction_permits_score_2006M,1997_dealing_with_construction_permits_score_2015M
AUS,,,,,2.64,,
AUT,,,,,0.58,,
BEL,,,,,1.92,,
CAN,,,,,3.67,,
CZE,,,,,0.52,,
DNK,,,,,1.62,,
FIN,,,,,1.05,,
FRA,,,,,3.26,,
DEU,,,,,0.97,,
GRC,,,,,1.97,,
HUN,,,,,0.58,,
ISL,,,,,2.55,,
IRL,,,,,1.52,,
ITA,,,,,2.11,,
JPN,,,,,2.94,,
KOR,,,,,2.41,,
LUX,,,,,2.93,,
MEX,,,,,0.2,,
NLD,,,,,1.77,,
NZL,,,,,1.83,,
NOR,,,,,1.09,,
POL,,,,,1.35,,
PRT,,,,,0.88,,
SVK,,,,,0.64,,
ESP,,,,,2.0,,
SWE,,,,,1.81,,
CHE,,,,,2.26,,
TUR,,,,,0.55,,
GBR,,,,,3.11,,
USA,,,,,3.01,,
ARG,,,,,1.03,,
BHS,,,,,2.63,,
BRB,,,,,1.64,,
BLZ,,,,,0.64,,
BOL,,,,,0.01,,
BRA,,,,,1.68,,
CMR,,,,,0.08,,
CPV,,,,,0.78,,
CHL,,,,,1.31,,
COL,,,,,0.5,,
CRI,,,,,0.29,,
CIV,,,,,0.32,,
CUB,,,,,0.0,,
DOM,,,,,0.13,,
ECU,,,,,0.15,,
SLV,,,,,0.13,,
EST,,,,,0.38,,
GTM,,,,,0.26,,
HND,,,,,0.3,,
IDN,,,,,0.32,,
ISR,,,,,3.21,,
JAM,,,,,0.93,,
LVA,,,,,1.14,,
MYS,,,,,0.01,,
MUS,,,,,1.34,,
NIC,,,,,0.47,,
PAN,,,,,0.37,,
PRY,,,,,0.35,,
PER,,,,,0.0,,
PHL,,,,,0.15,,
RWA,,,,,0.01,,
SEN,,,,,0.29,,
SVN,,,,,0.62,,
ZAF,,,,,0.37,,
SWZ,,,,,0.21,,
TTO,,,,,0.45,,
URY,,,,,2.22,,
VEN,,,,,0.01,,
