Country Code,2007_owner_occupied_housing,2007_overburden_rate,2007_total_outstanding_residential_loans_to_GDP,2007_social_hosuing_stock,2007_real_estate_tax_to_GDP,2007_dealing_with_construction_permits_score_2006M,2007_dealing_with_construction_permits_score_2015M
AUT,59.2,12.0,,,0.55,71.8,..
BEL,72.9,33.0,,,3.07,73.3,..
BGR,87.6,42.1,,,,61.7,..
CYP,74.1,11.3,,,,..,..
CZE,74.5,26.0,,,0.4,54.3,..
DNK,67.1,25.4,,,1.81,91.6,..
EST,86.8,24.6,,,0.22,86.1,..
GRC,75.6,23.6,,,2.11,65.4,..
ESP,80.6,35.9,,,2.99,63.5,..
FIN,73.6,12.7,,,1.08,79.5,..
FRA,60.5,15.6,,,3.47,75.8,..
HUN,88.5,42.0,,,0.79,66.8,..
IRL,78.1,23.0,,,2.43,62.6,..
ISL,86.4,9.4,,,2.36,75.7,..
ITA,73.2,28.3,,,2.02,64.2,..
LTU,89.4,32.6,,,,75.5,..
LUX,74.5,13.7,,,3.48,78.6,..
LVA,86.0,10.9,,,0.86,60.3,..
MLT,79.8,27.0,,,,..,..
NLD,66.6,28.3,,,1.67,69.3,..
NOR,83.8,33.0,,,1.13,72.2,..
POL,62.5,32.3,,,1.44,50.2,..
PRT,74.2,23.7,,,1.3,50.8,..
ROU,95.5,52.3,,,,64,..
SWE,69.5,20.9,,,1.09,79.4,..
SVN,81.3,25.1,,,0.59,52.4,..
SVK,89.1,35.8,,,0.39,61.4,..
TUR,60.8,37.0,,,0.86,42.8,..
GBR,73.3,42.3,,,4.09,70.3,..
AUS,,,,,2.65,80.8,..
CAN,,,,,3.45,71.4,..
DEU,,,,,0.88,82.7,..
JPN,,,,,2.47,..,..
KOR,,,,,3.04,87.1,..
MEX,,,,,0.29,..,..
NZL,,,,,1.81,84.2,..
CHE,,,,,2.1,74.1,..
USA,,,,,3.2,..,..
ARG,,,,,2.67,42.2,..
BHS,,,,,4.33,..,..
BRB,,,,,1.33,..,..
BLZ,,,,,1.22,68.6,..
BOL,,,,,0.32,74.7,..
BRA,,,,,2.27,..,..
CMR,,,,,0.16,51.6,..
CPV,,,,,1.21,67.5,..
CHL,,,,,1.12,60.8,..
COL,,,,,1.51,54.7,..
CRI,,,,,0.31,54,..
CIV,,,,,0.31,28,..
CUB,,,,,0.0,,
DOM,,,,,0.69,65,..
ECU,,,,,0.18,67.9,..
SLV,,,,,0.14,58.6,..
GTM,,,,,0.32,36.5,..
HND,,,,,0.19,61.3,..
IDN,,,,,0.74,..,..
ISR,,,,,3.3,66.9,..
JAM,,,,,1.42,56.4,..
KAZ,,,,,0.57,34.2,..
KEN,,,,,0.2,82.9,..
MUS,,,,,0.95,59,..
MAR,,,,,1.76,70.5,..
NIC,,,,,0.25,44.1,..
NER,,,,,0.07,20.2,..
PAN,,,,,0.56,62.7,..
PRY,,,,,0.31,55,..
PER,,,,,0.6,60.8,..
PHL,,,,,0.45,49.8,..
RWA,,,,,0.0,31.8,..
SEN,,,,,0.41,60.4,..
SGP,,,,,2.25,80.1,..
ZAF,,,,,1.45,66.1,..
SWZ,,,,,0.26,75.6,..
TGO,,,,,0.05,29.1,..
TTO,,,,,0.29,63.3,..
TUN,,,,,0.29,64.6,..
URY,,,,,2.41,55.3,..
VEN,,,,,0.55,52.3,..
AFG,,,,,,24.1,..
ALB,,,,,,24.1,..
DZA,,,,,,39.7,..
AGO,,,,,,54.9,..
ATG,,,,,,67.1,..
ARM,,,,,,37.3,..
AZE,,,,,,27.2,..
BHR,,,,,,..,..
BGD,,,,,,..,..
BLR,,,,,,44.4,..
BEN,,,,,,57.7,..
BTN,,,,,,57.2,..
BIH,,,,,,20,..
BWA,,,,,,51.1,..
BRN,,,,,,65.7,..
BFA,,,,,,20,..
BDI,,,,,,34.8,..
KHM,,,,,,44.5,..
CAF,,,,,,32.1,..
TCD,,,,,,41.6,..
CHN,,,,,,..,..
COM,,,,,,79.1,..
COD,,,,,,40.9,..
COG,,,,,,55.3,..
HRV,,,,,,12.5,..
DJI,,,,,,63.8,..
DMA,,,,,,75.2,..
EGY,,,,,,32.1,..
GNQ,,,,,,71.2,..
ERI,,,,,,0,..
ETH,,,,,,51.5,..
FJI,,,,,,78.1,..
GAB,,,,,,60.8,..
GMB,,,,,,55.9,..
GEO,,,,,,69.3,..
GHA,,,,,,65.9,..
GRD,,,,,,67.5,..
GIN,,,,,,38.4,..
GNB,,,,,,46.2,..
GUY,,,,,,45.6,..
HTI,,,,,,52.2,..
HKG,,,,,,55.4,..
IND,,,,,,..,..
IRN,,,,,,21,..
IRQ,,,,,,69.5,..
JOR,,,,,,38.9,..
KIR,,,,,,40.8,..
XKX,,,,,,..,..
KWT,,,,,,47.9,..
KGZ,,,,,,14,..
LAO,,,,,,84.1,..
LBN,,,,,,43.3,..
LSO,,,,,,37.5,..
LBR,,,,,,27.8,..
LBY,,,,,,..,..
LIE,,,,,,..,..
MDG,,,,,,43.4,..
MWI,,,,,,75.5,..
MYS,,,,,,53.4,..
MDV,,,,,,83,..
MLI,,,,,,38.9,..
MHL,,,,,,92.9,..
MRT,,,,,,57.8,..
FSM,,,,,,80.9,..
MDA,,,,,,26.5,..
MNG,,,,,,58,..
MNE,,,,,,38.4,..
MOZ,,,,,,50.3,..
MMR,,,,,,..,..
NAM,,,,,,65.8,..
NPL,,,,,,76.2,..
NGA,,,,,,..,..
MKD,,,,,,49.5,..
OMN,,,,,,73.6,..
PAK,,,,,,..,..
PLW,,,,,,63.5,..
PNG,,,,,,58.7,..
PRI,,,,,,57.5,..
QAT,,,,,,..,..
RUS,,,,,,..,..
WSM,,,,,,78.4,..
SMR,,,,,,..,..
SAU,,,,,,67.9,..
SRB,,,,,,26.5,..
SYC,,,,,,71.9,..
SLE,,,,,,14.5,..
SLB,,,,,,47.7,..
SOM,,,,,,..,..
SSD,,,,,,..,..
LKA,,,,,,72,..
KNA,,,,,,82.4,..
LCA,,,,,,74.5,..
VCT,,,,,,89.1,..
SDN,,,,,,35.5,..
SUR,,,,,,70.4,..
SYR,,,,,,49.5,..
STP,,,,,,59.9,..
TWN,,,,,,65.7,..
TJK,,,,,,19,..
TZA,,,,,,28.9,..
THA,,,,,,65.3,..
TLS,,,,,,65.6,..
TON,,,,,,62.9,..
UGA,,,,,,39.2,..
UKR,,,,,,1.3,..
ARE,,,,,,73.7,..
UZB,,,,,,39.4,..
VUT,,,,,,75.6,..
VNM,,,,,,77.6,..
PSE,,,,,,37.4,..
YEM,,,,,,80.3,..
ZMB,,,,,,56.1,..
ZWE,,,,,,65.7,..
