Country Code,2004_owner_occupied_housing,2004_overburden_rate,2004_total_outstanding_residential_loans_to_GDP,2004_social_hosuing_stock,2004_real_estate_tax_to_GDP,2004_dealing_with_construction_permits_score_2006M,2004_dealing_with_construction_permits_score_2015M
BEL,72.2,34.3,,,2.28,..,..
DNK,67.2,,,,1.79,..,..
FIN,71.4,12.8,,,1.07,..,..
IRL,81.8,21.8,,,2.01,..,..
ISL,85.3,12.2,,,2.43,..,..
ITA,72.7,26.4,,,2.41,..,..
NOR,82.9,25.3,,,1.07,..,..
PRT,74.6,2.1,,,1.06,..,..
SWE,66.6,18.9,,,1.44,..,..
AUS,,,,,2.63,..,..
AUT,,,,,0.54,..,..
CAN,,,,,3.53,..,..
CZE,,,,,0.38,..,..
FRA,,,,,3.29,..,..
DEU,,,,,0.84,..,..
GRC,,,,,1.81,..,..
HUN,,,,,0.83,..,..
JPN,,,,,2.51,..,..
KOR,,,,,2.38,..,..
LUX,,,,,2.85,..,..
MEX,,,,,0.26,..,..
NLD,,,,,1.83,..,..
NZL,,,,,1.72,..,..
POL,,,,,1.49,..,..
SVK,,,,,0.54,..,..
ESP,,,,,2.74,..,..
CHE,,,,,2.39,..,..
TUR,,,,,0.71,..,..
GBR,,,,,3.82,..,..
USA,,,,,3.11,..,..
ARG,,,,,2.77,..,..
BHS,,,,,2.52,..,..
BRB,,,,,1.86,..,..
BLZ,,,,,0.96,..,..
BOL,,,,,0.46,..,..
BRA,,,,,2.27,..,..
CMR,,,,,0.12,..,..
CPV,,,,,0.81,..,..
CHL,,,,,1.3,..,..
COL,,,,,1.47,..,..
CRI,,,,,0.24,..,..
CIV,,,,,0.34,..,..
CUB,,,,,0.0,,
DOM,,,,,0.31,..,..
ECU,,,,,0.23,..,..
SLV,,,,,0.11,..,..
EST,,,,,0.31,..,..
GTM,,,,,0.32,..,..
HND,,,,,0.23,..,..
IDN,,,,,0.58,..,..
ISR,,,,,3.2,..,..
JAM,,,,,1.44,..,..
KAZ,,,,,0.67,..,..
KEN,,,,,0.01,..,..
LVA,,,,,1.03,..,..
MYS,,,,,0.0,..,..
MUS,,,,,0.96,..,..
MAR,,,,,1.4,..,..
NIC,,,,,0.22,..,..
NER,,,,,0.07,..,..
PAN,,,,,0.4,..,..
PRY,,,,,0.23,..,..
PER,,,,,0.53,..,..
PHL,,,,,0.44,..,..
RWA,,,,,0.0,..,..
SEN,,,,,0.37,..,..
