Country Code,2018_owner_occupied_housing,2018_overburden_rate,2018_total_outstanding_residential_loans_to_GDP,2018_social_hosuing_stock,2018_real_estate_tax_to_GDP,2018_dealing_with_construction_permits_score_2006M,2018_dealing_with_construction_permits_score_2015M
ALB,96.1,,,,,..,52.6
AUT,55.4,14.5,29.2,,0.54,..,75
BEL,72.3,34.8,53.6,4.2,3.45,..,75.4
BGR,83.6,50.1,8.4,,,..,75
CHE,42.5,19.4,141.3,,2.05,..,71.7
CYP,70.1,11.3,41.0,,,..,64
CZE,78.7,27.9,21.2,,0.46,..,56.2
DEU,51.5,20.9,43.2,,1.06,..,78.1
DNK,60.5,28.9,83.5,,1.83,..,86.8
EST,82.4,25.5,29.2,,0.22,..,82.5
GRC,73.5,83.1,30.7,,3.01,..,68.4
ESP,76.3,38.1,41.1,,2.52,..,70.7
FIN,71.6,15.2,41.9,,1.43,..,75.7
FRA,65.1,14.9,42.8,14.0,4.13,..,76.5
HRV,90.1,32.1,14.1,,,..,54.8
HUN,86.0,46.9,10.2,2.6,0.98,..,66.2
IRL,70.3,14.3,25.7,,1.32,..,76.2
ISL,73.6,17.4,56.7,,2.04,..,71.7
ITA,72.4,29.1,31.5,,2.54,..,68
LTU,89.9,30.9,17.1,,,..,84.8
LUX,71.2,30.2,55.1,,3.85,..,83.9
LVA,81.6,11.5,14.1,,0.95,..,73.4
MNE,90.2,51.7,,,,..,76.9
MKD,88.3,38.1,,,,..,80.4
MLT,81.6,12.1,44.5,,,..,72.5
NLD,68.9,25.6,92.3,,1.57,..,69.3
NOR,81.3,35.4,76.2,,1.24,..,80.7
POL,84.0,26.4,20.2,,1.31,..,76.3
PRT,74.5,25.8,46.0,,1.4,..,73.1
ROU,96.4,46.3,7.7,,,..,58.3
SRB,84.4,71.0,,,,..,83.1
SWE,64.1,18.8,86.9,,0.95,..,77.9
SVN,75.1,21.7,13.6,4.7,0.6,..,65.1
SVK,91.3,19.2,31.6,,0.41,..,59.3
TUR,59.0,32.1,31.8,,1.04,..,69.6
GBR,65.2,37.7,65.0,,4.12,..,80.3
XKX,97.8,80.1,,,,..,50.3
AUS,,,56.2,,2.73,..,84.4
BRA,,,8.4,,1.45,..,52.1
CAN,,,68.3,,3.86,..,72.9
JPN,,,39.6,,2.59,..,83.1
RUS,,,6.3,,,..,73.2
SGP,,,43.4,,1.81,..,84.7
KOR,,,4.7,8.9,3.11,..,84.4
USA,,,54.6,,3.0,..,79.8
MEX,,,,,0.33,..,67.8
NZL,,,,,1.92,..,86.4
ARG,,,,,2.68,..,49
BHS,,,,,1.86,..,70.5
BRB,,,,,1.68,..,56.6
BLZ,,,,,1.32,..,64.2
BOL,,,,,0.2,..,59.8
CMR,,,,,0.12,..,52.8
CPV,,,,,0.4,..,73.4
CHL,,,,,1.09,..,75.8
COL,,,,,1.55,..,68.7
CRI,,,,,0.42,..,70.7
CIV,,,,,0.37,..,55.6
CUB,,,,,0.0,,
COD,,,,,0.01,..,51.6
DOM,,,,,0.61,..,70.1
ECU,,,,,0.35,..,66.3
SLV,,,,,0.46,..,50.4
GTM,,,,,0.25,..,64.4
HND,,,,,0.56,..,54.3
IDN,,,,,0.17,..,64
ISR,,,,,3.18,..,76.6
JAM,,,,,1.22,..,71.6
KAZ,,,,,0.48,..,74.4
KEN,,,,,0.15,..,63.2
MYS,,,,,0.0,..,83.3
MUS,,,,,1.0,..,82.5
MAR,,,,,1.57,..,82.3
NIC,,,,,0.23,..,46.3
NER,,,,,0.03,..,42.5
PAN,,,,,0.38,..,68.1
PRY,,,,,0.18,..,70.5
PER,,,,,0.36,..,70.7
PHL,,,,,0.45,..,66.7
RWA,,,,,0.02,..,65.6
SEN,,,,,0.41,..,59.1
ZAF,,,,,1.68,..,68.3
SWZ,,,,,0.45,..,66.7
TGO,,,,,0.16,..,44
TTO,,,,,0.23,..,64.1
TUN,,,,,0.29,..,73.6
URY,,,,,2.21,..,56
AFG,,,,,,..,33.7
DZA,,,,,,..,62.9
AGO,,,,,,..,64.6
ATG,,,,,,..,65.5
ARM,,,,,,..,67.8
AZE,,,,,,..,60.5
BHR,,,,,,..,73.7
BGD,,,,,,..,60.6
BLR,,,,,,..,70.2
BEN,,,,,,..,70.2
BTN,,,,,,..,68.7
BIH,,,,,,..,48.6
BWA,,,,,,..,71.2
BRN,,,,,,..,73.6
BFA,,,,,,..,68.2
BDI,,,,,,..,52.8
KHM,,,,,,..,41.9
CAF,,,,,,..,34.1
TCD,,,,,,..,46.9
CHN,,,,,,..,41.2
COM,,,,,,..,66.7
COG,,,,,,..,59.6
DJI,,,,,,..,69
DMA,,,,,,..,70.1
EGY,,,,,,..,71.4
GNQ,,,,,,..,55
ERI,,,,,,..,0
ETH,,,,,,..,49.2
FJI,,,,,,..,67.7
GAB,,,,,,..,57.8
GMB,,,,,,..,56.8
GEO,,,,,,..,79.2
GHA,,,,,,..,61.9
GRD,,,,,,..,62.3
GIN,,,,,,..,57.1
GNB,,,,,,..,45.2
GUY,,,,,,..,52.3
HTI,,,,,,..,44.2
HKG,,,,,,..,91.2
IND,,,,,,..,39.7
IRN,,,,,,..,70.3
IRQ,,,,,,..,67.7
JOR,,,,,,..,61.7
KIR,,,,,,..,48.6
KWT,,,,,,..,62.1
KGZ,,,,,,..,68.6
LAO,,,,,,..,67.6
LBN,,,,,,..,53.7
LSO,,,,,,..,50.8
LBR,,,,,,..,28.9
LBY,,,,,,..,0
LIE,,,,,,..,..
MDG,,,,,,..,34.2
MWI,,,,,,..,59.2
MDV,,,,,,..,72.9
MLI,,,,,,..,60.4
MHL,,,,,,..,70.9
MRT,,,,,,..,64
FSM,,,,,,..,61.1
MDA,,,,,,..,48
MNG,,,,,,..,78.2
MOZ,,,,,,..,72.8
MMR,,,,,,..,70.5
NAM,,,,,,..,69.4
NPL,,,,,,..,55.7
NGA,,,,,,..,59
OMN,,,,,,..,75.2
PAK,,,,,,..,51.2
PLW,,,,,,..,62.3
PNG,,,,,,..,64.4
PRI,,,,,,..,60.2
QAT,,,,,,..,84.2
WSM,,,,,,..,68.8
SMR,,,,,,..,68.7
SAU,,,,,,..,76.6
SYC,,,,,,..,65.5
SLE,,,,,,..,38.4
SLB,,,,,,..,49.1
SOM,,,,,,..,0
SSD,,,,,,..,36.6
LKA,,,,,,..,68.3
KNA,,,,,,..,73.4
LCA,,,,,,..,76.2
VCT,,,,,,..,74.4
SDN,,,,,,..,64.6
SUR,,,,,,..,66.4
SYR,,,,,,..,0
STP,,,,,,..,66.5
TWN,,,,,,..,86.3
TJK,,,,,,..,60.5
TZA,,,,,,..,56.4
THA,,,,,,..,71.8
TLS,,,,,,..,55.3
TON,,,,,,..,73.9
UGA,,,,,,..,65
UKR,,,,,,..,78.2
ARE,,,,,,..,86.5
UZB,,,,,,..,61.2
VUT,,,,,,..,54
VEN,,,,,,..,58
VNM,,,,,,..,79
PSE,,,,,,..,56.6
YEM,,,,,,..,0
ZMB,,,,,,..,71.1
ZWE,,,,,,..,46.4
