Country Code,2017_owner_occupied_housing,2017_overburden_rate,2017_total_outstanding_residential_loans_to_GDP,2017_social_hosuing_stock,2017_real_estate_tax_to_GDP,2017_dealing_with_construction_permits_score_2006M,2017_dealing_with_construction_permits_score_2015M
ALB,96.5,,,,,..,52.6
AUT,55.0,15.5,29.0,,0.52,..,75
BEL,72.4,34.9,52.3,,3.45,..,75.3
BGR,82.9,51.0,8.0,,,..,74.4
CHE,41.3,19.6,148.6,,2.12,..,71.7
CYP,70.7,14.2,55.5,,,..,64
CZE,78.5,28.3,21.2,,0.47,..,56.2
DEU,51.4,20.5,42.5,,1.03,..,78.1
DNK,62.2,31.7,85.1,,1.8,..,87
EST,81.8,26.6,29.9,1.1,0.24,..,82.5
GRC,73.3,83.9,32.6,,3.09,..,68.4
ESP,77.1,42.1,42.8,,2.54,..,70.7
FIN,71.4,13.0,42.6,10.5,1.53,..,75.7
FRA,64.4,14.7,41.5,,4.39,..,76.4
HRV,90.5,48.6,14.5,,,..,54.6
HUN,85.2,30.6,10.8,,1.05,..,66.1
IRL,69.5,21.5,28.3,,1.3,..,75.3
ISL,74.1,21.1,55.3,,2.06,..,71.7
ITA,72.4,28.2,32.3,,2.55,..,65.8
LTU,89.7,42.5,17.0,,,..,79.3
LUX,74.7,26.0,54.0,,3.64,..,83.8
LVA,81.5,11.2,16.3,,1.04,..,73.4
MNE,88.9,52.0,,,,..,68.8
MKD,88.7,56.2,,,,..,80
MLT,81.3,13.9,40.2,,,..,71.8
NLD,69.4,26.2,95.5,,1.56,..,69.3
NOR,81.5,32.3,76.5,4.3,1.27,..,80.7
POL,84.2,23.6,19.9,,1.36,..,76.3
PRT,74.7,28.2,48.0,,1.36,..,73.1
ROU,96.8,60.4,7.6,,,..,58.1
SRB,82.0,63.5,,,,..,81.3
SWE,65.2,19.3,83.7,,0.98,..,77.8
SVN,75.6,24.3,13.9,,0.64,..,65.1
SVK,90.1,20.9,30.0,,0.43,..,59.3
TUR,59.1,32.4,35.1,,1.11,..,68.7
GBR,65.0,38.6,65.2,,4.13,..,80.3
AUS,,,57.9,4.4,2.86,..,84.4
BRA,,,7.8,,1.39,..,52
CAN,,,68.2,,3.93,..,73.8
JPN,,,34.8,,2.57,..,83.1
RUS,,,6.0,,,..,73.1
SGP,,,41.9,,1.95,..,83.7
KOR,,,5.6,,2.96,..,84.5
USA,,,51.2,,4.35,..,79.8
MEX,,,,,0.31,..,67.7
NZL,,,,,1.89,..,86.3
ARG,,,,,2.85,..,49.2
BHS,,,,,1.89,..,70.5
BRB,,,,,1.48,..,56.6
BLZ,,,,,0.88,..,64.2
BOL,,,,,0.19,..,59.8
CMR,,,,,0.16,..,54.2
CPV,,,,,0.29,..,71.8
CHL,,,,,1.08,..,75.7
COL,,,,,1.95,..,68.6
CRI,,,,,0.42,..,70.6
CIV,,,,,0.34,..,35.8
CUB,,,,,0.0,,
COD,,,,,0.02,..,53.6
