Country Code,2013_owner_occupied_housing,2013_overburden_rate,2013_total_outstanding_residential_loans_to_GDP,2013_social_hosuing_stock,2013_real_estate_tax_to_GDP,2013_dealing_with_construction_permits_score_2006M,2013_dealing_with_construction_permits_score_2015M
AUT,57.3,15.5,27.1,,0.72,70.9,..
BEL,72.3,34.0,48.2,,3.51,73.7,..
BGR,85.7,36.3,8.4,,,66.6,..
CHE,44.0,15.2,135.1,8.0,1.87,75.6,..
CYP,74.0,17.7,65.9,,,61.1,..
CZE,80.1,32.7,17.3,,0.46,57.3,..
DEU,52.6,22.3,43.0,,0.93,82.9,..
DNK,64.5,37.1,89.6,,1.8,91.6,..
EST,81.1,25.6,31.0,,0.3,85.4,..
GRC,75.8,58.3,39.3,,3.15,64.6,..
ESP,77.7,42.3,55.8,,2.38,63.2,..
FIN,73.6,15.0,43.2,,1.27,80.3,..
FRA,64.3,16.2,38.5,,3.97,71.4,..
HRV,88.5,49.8,18.4,,,21.7,..
HUN,88.7,37.3,18.1,,1.28,69.1,..
IRL,69.9,16.6,52.8,,2.02,59.7,..
ISL,77.5,17.9,74.1,,2.37,77.5,..
ITA,73.3,34.2,35.4,,2.72,63,..
LTU,92.2,23.5,16.7,,,79.3,..
LUX,73.0,21.4,50.3,,2.79,78.4,..
LVA,81.2,17.1,22.2,,0.97,64.2,..
MNE,88.3,55.1,,,,38,..
MKD,87.3,62.4,,,,72.2,..
MLT,80.5,25.9,42.8,,,64.3,..
NLD,67.1,23.2,102.8,,1.22,70.1,..
NOR,83.5,28.7,62.4,,1.13,83.2,..
POL,83.8,28.5,20.5,,1.4,70.3,..
PRT,74.2,35.2,62.5,,1.12,72.3,..
ROU,95.6,54.4,6.4,,,53.9,..
SRB,81.1,62.4,,,,20.8,..
SWE,66.3,18.1,77.0,,1.08,83.2,..
SVN,76.6,25.8,14.6,,0.64,53.5,..
SVK,90.5,12.9,20.6,,0.44,61.5,..
TUR,60.7,44.4,36.0,,1.17,61.4,..
GBR,64.6,25.3,70.7,,3.93,86.9,..
AUS,,,43.0,,2.56,83.7,..
BRA,,,5.6,,1.27,..,..
CAN,,,58.8,,3.7,67.3,..
JPN,,,33.9,3.2,2.55,..,..
RUS,,,3.9,,,..,..
SGP,,,34.3,,2.09,82.9,..
KOR,,,5.2,,2.39,85.9,..
USA,,,57.1,,3.0,..,..
MEX,,,,,0.28,..,..
NZL,,,,,1.94,83.5,..
ARG,,,,,2.89,39.8,..
BHS,,,,,2.75,67.7,..
BRB,,,,,1.79,61.1,..
BLZ,,,,,0.99,69.1,..
BOL,,,,,0.19,71.9,..
CMR,,,,,0.13,52.1,..
CPV,,,,,0.43,69.7,..
CHL,,,,,0.82,71.4,..
COL,,,,,2.09,64.7,..
CRI,,,,,0.39,62.8,..
CIV,,,,,0.39,30.4,..
CUB,,,,,0.0,,
COD,,,,,0.01,55.2,..
DOM,,,,,0.88,68.8,..
ECU,,,,,0.26,69.9,..
SLV,,,,,0.12,66.4,..
GTM,,,,,0.26,61.6,..
HND,,,,,0.38,66.4,..
IDN,,,,,0.31,..,..
ISR,,,,,3.09,68.3,..
JAM,,,,,1.18,66.9,..
KAZ,,,,,0.45,47.4,..
KEN,,,,,0.21,71.7,..
MYS,,,,,0.0,56.4,..
MUS,,,,,0.96,63.1,..
MAR,,,,,1.89,80.1,..
NIC,,,,,0.24,47.2,..
NER,,,,,0.03,35.2,..
PAN,,,,,0.5,69.7,..
PRY,,,,,0.22,75.2,..
PER,,,,,0.39,64.7,..
PHL,,,,,0.47,55.1,..
RWA,,,,,0.0,62.9,..
SEN,,,,,0.39,50.9,..
ZAF,,,,,1.45,67.2,..
SWZ,,,,,0.29,75.8,..
TGO,,,,,0.13,29.1,..
TTO,,,,,0.14,63.3,..
TUN,,,,,0.32,70.7,..
URY,,,,,2.19,56.9,..
VEN,,,,,0.02,53.6,..
AFG,,,,,,24.1,..
ALB,,,,,,0,..
DZA,,,,,,49.2,..
AGO,,,,,,69.3,..
ATG,,,,,,67.5,..
ARM,,,,,,66.5,..
AZE,,,,,,48,..
BHR,,,,,,71.7,..
BGD,,,,,,..,..
BLR,,,,,,64.5,..
BEN,,,,,,73.5,..
BTN,,,,,,62.1,..
BIH,,,,,,34.4,..
BWA,,,,,,54.6,..
BRN,,,,,,71.1,..
BFA,,,,,,59.8,..
BDI,,,,,,45.8,..
KHM,,,,,,34.5,..
CAF,,,,,,32.1,..
TCD,,,,,,41.6,..
CHN,,,,,,..,..
COM,,,,,,79.7,..
COG,,,,,,61.8,..
DJI,,,,,,55.5,..
DMA,,,,,,75.7,..
EGY,,,,,,61.7,..
GNQ,,,,,,71.2,..
ERI,,,,,,0,..
ETH,,,,,,76,..
FJI,,,,,,74.5,..
GAB,,,,,,61.3,..
GMB,,,,,,66.9,..
GEO,,,,,,84.6,..
GHA,,,,,,51.1,..
GRD,,,,,,71.2,..
GIN,,,,,,45.1,..
GNB,,,,,,46.2,..
GUY,,,,,,59.2,..
HTI,,,,,,54,..
HKG,,,,,,87.7,..
IND,,,,,,..,..
IRN,,,,,,63.1,..
IRQ,,,,,,70.3,..
JOR,,,,,,58.7,..
KIR,,,,,,45.8,..
XKX,,,,,,27.3,..
KWT,,,,,,54.2,..
KGZ,,,,,,67.4,..
LAO,,,,,,85.3,..
LBN,,,,,,45.6,..
LSO,,,,,,45.4,..
LBR,,,,,,34.1,..
LBY,,,,,,0,..
LIE,,,,,,..,..
MDG,,,,,,40.4,..
MWI,,,,,,74.8,..
MDV,,,,,,83.5,..
MLI,,,,,,51.2,..
MHL,,,,,,91.8,..
MRT,,,,,,71.3,..
FSM,,,,,,81.3,..
MDA,,,,,,35.7,..
MNG,,,,,,65.3,..
MOZ,,,,,,59.4,..
MMR,,,,,,67.2,..
NAM,,,,,,72.5,..
NPL,,,,,,60.1,..
NGA,,,,,,..,..
OMN,,,,,,76.2,..
PAK,,,,,,..,..
PLW,,,,,,63.3,..
PNG,,,,,,61.9,..
PRI,,,,,,48.5,..
QAT,,,,,,80.5,..
WSM,,,,,,78.7,..
SMR,,,,,,70,..
SAU,,,,,,75.8,..
SYC,,,,,,73.8,..
SLE,,,,,,35.7,..
SLB,,,,,,47.7,..
SOM,,,,,,..,..
SSD,,,,,,54.9,..
LKA,,,,,,72.6,..
KNA,,,,,,82.6,..
LCA,,,,,,78.2,..
VCT,,,,,,81.4,..
SDN,,,,,,54.1,..
SUR,,,,,,71.2,..
SYR,,,,,,58.1,..
STP,,,,,,75.6,..
TWN,,,,,,86.1,..
TJK,,,,,,48.2,..
TZA,,,,,,37.8,..
THA,,,,,,66.7,..
TLS,,,,,,67.5,..
TON,,,,,,74.6,..
UGA,,,,,,47.7,..
UKR,,,,,,12,..
ARE,,,,,,85.1,..
UZB,,,,,,47.7,..
VUT,,,,,,62.1,..
VNM,,,,,,78.5,..
PSE,,,,,,37.4,..
YEM,,,,,,75.2,..
ZMB,,,,,,70,..
ZWE,,,,,,26.7,..
