Country Code,1999_owner_occupied_housing,1999_overburden_rate,1999_total_outstanding_residential_loans_to_GDP,1999_social_hosuing_stock,1999_real_estate_tax_to_GDP,1999_dealing_with_construction_permits_score_2006M,1999_dealing_with_construction_permits_score_2015M
AUS,,,,,2.74,,
AUT,,,,,0.57,,
BEL,,,,,2.06,,
CAN,,,,,3.57,,
CZE,,,,,0.45,,
DNK,,,,,1.76,,
FIN,,,,,1.05,,
FRA,,,,,3.3,,
DEU,,,,,0.9,,
GRC,,,,,2.39,,
HUN,,,,,0.63,,
ISL,,,,,2.62,,
IRL,,,,,1.69,,
ITA,,,,,1.86,,
JPN,,,,,2.83,,
KOR,,,,,2.63,,
LUX,,,,,3.6,,
MEX,,,,,0.2,,
NLD,,,,,1.9,,
NZL,,,,,1.89,,
NOR,,,,,1.03,,
POL,,,,,1.45,,
PRT,,,,,1.16,,
SVK,,,,,0.64,,
ESP,,,,,2.05,,
SWE,,,,,1.7,,
CHE,,,,,2.64,,
TUR,,,,,0.64,,
GBR,,,,,3.46,,
USA,,,,,3.0,,
ARG,,,,,1.18,,
BHS,,,,,2.7,,
BRB,,,,,1.87,,
BLZ,,,,,0.83,,
BOL,,,,,0.01,,
BRA,,,,,1.7,,
CMR,,,,,0.11,,
CPV,,,,,0.68,,
CHL,,,,,1.41,,
COL,,,,,1.11,,
CRI,,,,,0.16,,
CIV,,,,,0.28,,
CUB,,,,,0.0,,
DOM,,,,,0.17,,
ECU,,,,,0.13,,
SLV,,,,,0.12,,
EST,,,,,0.37,,
GTM,,,,,0.28,,
HND,,,,,0.27,,
IDN,,,,,0.28,,
ISR,,,,,3.2,,
JAM,,,,,1.12,,
KAZ,,,,,1.08,,
LVA,,,,,1.0,,
MYS,,,,,0.0,,
MUS,,,,,1.28,,
NIC,,,,,0.02,,
PAN,,,,,0.42,,
PRY,,,,,0.25,,
PER,,,,,0.01,,
PHL,,,,,0.49,,
RWA,,,,,0.02,,
SEN,,,,,0.29,,
SVN,,,,,0.74,,
ZAF,,,,,0.44,,
SWZ,,,,,0.24,,
TTO,,,,,0.34,,
URY,,,,,1.96,,
VEN,,,,,1.07,,
