Country Code,2001_owner_occupied_housing,2001_overburden_rate,2001_total_outstanding_residential_loans_to_GDP,2001_social_hosuing_stock,2001_real_estate_tax_to_GDP,2001_dealing_with_construction_permits_score_2006M,2001_dealing_with_construction_permits_score_2015M
AUS,,,,,2.55,,
AUT,,,,,0.57,,
BEL,,,,,1.98,,
CAN,,,,,3.66,,
CZE,,,,,0.48,,
DNK,,,,,1.63,,
FIN,,,,,1.0,,
FRA,,,,,3.07,,
DEU,,,,,0.8,,
GRC,,,,,2.16,,
HUN,,,,,0.69,,
ISL,,,,,2.69,,
IRL,,,,,1.68,,
ITA,,,,,1.77,,
JPN,,,,,2.73,,
KOR,,,,,2.42,,
LUX,,,,,3.64,,
MEX,,,,,0.24,,
NLD,,,,,1.8,,
NZL,,,,,1.67,,
NOR,,,,,0.96,,
POL,,,,,1.67,,
PRT,,,,,1.07,,
SVK,,,,,0.58,,
ESP,,,,,2.06,,
SWE,,,,,1.47,,
CHE,,,,,2.55,,
TUR,,,,,0.62,,
GBR,,,,,3.71,,
USA,,,,,2.96,,
ARG,,,,,2.08,,
BHS,,,,,2.73,,
BRB,,,,,1.91,,
BLZ,,,,,0.99,,
BOL,,,,,0.01,,
BRA,,,,,2.09,,
CMR,,,,,0.17,,
CPV,,,,,0.79,,
CHL,,,,,1.42,,
COL,,,,,1.18,,
CRI,,,,,0.19,,
CIV,,,,,0.36,,
CUB,,,,,0.0,,
DOM,,,,,0.18,,
ECU,,,,,0.16,,
SLV,,,,,0.09,,
EST,,,,,0.36,,
GTM,,,,,0.25,,
HND,,,,,0.19,,
IDN,,,,,0.37,,
ISR,,,,,2.91,,
JAM,,,,,1.12,,
KAZ,,,,,0.84,,
KEN,,,,,0.0,,
LVA,,,,,1.07,,
MYS,,,,,0.0,,
MUS,,,,,1.15,,
MAR,,,,,1.33,,
NIC,,,,,0.02,,
NER,,,,,0.07,,
PAN,,,,,0.39,,
PRY,,,,,0.21,,
PER,,,,,0.51,,
PHL,,,,,0.46,,
RWA,,,,,0.02,,
SEN,,,,,0.32,,
SGP,,,,,1.42,,
SVN,,,,,0.68,,
ZAF,,,,,0.42,,
SWZ,,,,,0.27,,
TGO,,,,,0.06,,
TTO,,,,,0.31,,
TUN,,,,,0.27,,
URY,,,,,2.09,,
VEN,,,,,0.14,,
