Country Code,2000_owner_occupied_housing,2000_overburden_rate,2000_total_outstanding_residential_loans_to_GDP,2000_social_hosuing_stock,2000_real_estate_tax_to_GDP,2000_dealing_with_construction_permits_score_2006M,2000_dealing_with_construction_permits_score_2015M
AUS,,,,,2.67,,
AUT,,,,,0.56,,
BEL,,,,,2.06,,
CAN,,,,,3.3,,
CZE,,,,,0.46,,
DNK,,,,,1.56,,
FIN,,,,,1.11,,
FRA,,,,,3.12,,
DEU,,,,,0.83,,
GRC,,,,,2.57,,
HUN,,,,,0.67,,
ISL,,,,,2.82,,
IRL,,,,,1.76,,
ITA,,,,,1.88,,
JPN,,,,,2.7,,
KOR,,,,,2.59,,
LUX,,,,,3.94,,
MEX,,,,,0.21,,
NLD,,,,,1.95,,
NZL,,,,,1.73,,
NOR,,,,,0.96,,
POL,,,,,1.42,,
PRT,,,,,1.14,,
SVK,,,,,0.61,,
ESP,,,,,2.13,,
SWE,,,,,1.66,,
CHE,,,,,2.66,,
TUR,,,,,0.74,,
GBR,,,,,3.75,,
USA,,,,,2.92,,
ARG,,,,,1.22,,
BHS,,,,,2.64,,
BRB,,,,,1.77,,
BLZ,,,,,0.8,,
BOL,,,,,0.01,,
BRA,,,,,1.96,,
CMR,,,,,0.18,,
CPV,,,,,0.83,,
CHL,,,,,1.32,,
COL,,,,,1.04,,
CRI,,,,,0.18,,
CIV,,,,,0.31,,
CUB,,,,,0.0,,
DOM,,,,,0.18,,
ECU,,,,,0.1,,
SLV,,,,,0.1,,
EST,,,,,0.39,,
GTM,,,,,0.25,,
HND,,,,,0.25,,
IDN,,,,,0.29,,
ISR,,,,,3.13,,
JAM,,,,,1.08,,
KAZ,,,,,0.81,,
LVA,,,,,1.1,,
MYS,,,,,0.0,,
MUS,,,,,1.17,,
MAR,,,,,1.31,,
NIC,,,,,0.02,,
NER,,,,,0.08,,
PAN,,,,,0.35,,
PRY,,,,,0.23,,
PER,,,,,0.18,,
PHL,,,,,0.47,,
RWA,,,,,0.02,,
SEN,,,,,0.26,,
SGP,,,,,1.7,,
SVN,,,,,0.64,,
ZAF,,,,,0.4,,
SWZ,,,,,0.27,,
TGO,,,,,0.04,,
TTO,,,,,0.35,,
TUN,,,,,0.28,,
URY,,,,,1.99,,
VEN,,,,,0.5,,
