Country Code,2015_owner_occupied_housing,2015_overburden_rate,2015_total_outstanding_residential_loans_to_GDP,2015_social_hosuing_stock,2015_real_estate_tax_to_GDP,2015_dealing_with_construction_permits_score_2006M,2015_dealing_with_construction_permits_score_2015M
AUT,55.7,15.3,28.2,,0.57,70.9,74.9
BEL,71.4,33.7,49.7,,3.46,73.7,75.3
BGR,82.3,30.8,7.7,,,67.1,73.7
CHE,43.4,17.2,143.1,,1.99,75.6,71.7
CYP,73.0,19.7,65.4,,,60.7,63.9
CZE,78.0,31.0,19.0,,0.47,57,56.1
DEU,51.9,22.8,42.2,,1.03,83,78.1
DNK,62.7,31.9,87.5,,1.91,89.8,85.7
EST,81.5,42.3,30.4,,0.28,85.5,82.5
GRC,75.1,86.8,38.1,,3.06,64.5,66.7
ESP,78.2,43.3,48.8,,2.58,68.3,69.6
FIN,72.7,16.7,43.5,,1.43,78.8,75.8
FRA,64.1,14.9,39.4,,4.19,69.7,74
HRV,90.3,36.4,17.3,,,47.1,55.3
HUN,86.3,32.4,13.3,,1.26,62.3,68.4
IRL,69.6,17.7,33.4,,1.49,68,72.6
ISL,77.8,19.5,61.8,,1.9,77.6,71.6
ITA,72.9,32.7,33.6,,2.79,63,65.6
LTU,89.4,30.3,16.5,,,81.3,79.3
LUX,73.2,23.2,51.1,,3.29,78.4,83.8
LVA,80.2,13.6,18.4,,1.01,72.5,74.4
MNE,88.7,59.1,,,,62.1,66.5
MKD,90.6,43.8,,,,76.2,78.8
MLT,80.4,14.6,40.4,,,64.1,71.4
NLD,67.8,25.0,99.3,,1.42,70.1,69.3
NOR,82.8,36.2,69.8,,1.09,83.2,79
POL,83.7,26.3,21.1,,1.37,74,75.5
PRT,74.8,35.4,54.8,,1.28,72.8,72.9
ROU,96.4,45.7,7.2,,,54.1,62.2
SRB,81.1,65.5,,,,21.2,37.6
SWE,66.2,18.7,82.4,,1.03,83.3,77.5
SVN,76.2,25.9,14.2,,0.62,57.7,64.9
SVK,89.3,8.4,24.7,,0.42,61.3,59.3
TUR,60.4,36.1,36.4,,1.22,64.8,66.9
GBR,63.5,37.1,66.5,,3.99,86.8,80.1
AUS,,,49.5,,2.99,83.7,86.1
BRA,,,7.1,,1.4,50.4,51.8
CAN,,,63.3,,3.91,67.3,73.8
JPN,,,37.4,,2.52,81.8,83
RUS,,,4.6,,,64.3,69.9
SGP,,,37.7,,1.69,80.9,80.7
KOR,,,5.8,,2.93,86,77.8
USA,,,56.2,,2.96,78.7,79.7
MEX,,,,,0.31,61.9,65.8
NZL,,,,,1.96,81.8,86.4
ARG,,,,,2.79,38.4,47.1
BHS,,,,,2.61,67.5,68.9
BRB,,,,,1.51,61.1,56.6
BLZ,,,,,1.01,70.1,64.3
BOL,,,,,0.19,66.1,61.3
CMR,,,,,0.14,41,52.4
CPV,,,,,0.37,73.6,71.8
CHL,,,,,0.89,71.8,75.5
COL,,,,,2.26,65.9,67.8
CRI,,,,,0.41,69.7,70.6
CIV,,,,,0.33,32.8,34.6
CUB,,,,,0.0,,
COD,,,,,0.01,47.6,43.2
DOM,,,,,0.59,70.9,74.8
ECU,,,,,0.31,70.5,66.2
SLV,,,,,0.48,66.7,61.7
GTM,,,,,0.22,69.6,70.5
HND,,,,,0.57,61.8,61.4
IDN,,,,,0.29,56.8,64.3
ISR,,,,,3.33,68.7,74.8
JAM,,,,,1.17,65.5,67.5
KAZ,,,,,0.55,51.1,60
KEN,,,,,0.22,60.6,60.4
MYS,,,,,0.0,80.7,82.2
MUS,,,,,1.0,64.4,71.7
MAR,,,,,1.98,81.3,82.6
NIC,,,,,0.22,52.4,45.1
NER,,,,,0.05,35.2,36.4
